,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Available From,Available Till,City,Total Fee,Number of Hrs. Available
31,Dr. Kamlesh Kothari,Dentist,24.0,"MDS - Oral & Maxillofacial Surgery, BDS, Fellowship and Diplomate in Implantology, DNB - O...read more",400.0,0.0,AESTHETICA - Dental Implant Clinics,Ho Chi Minh Sarani,07:00:00,23:00:00,Kolkata,400.0,16:00
32,Dr. Priyabrata Mandal,Dentist,23.0,"MDS Prosthodontics, BDS",300.0,0.0,SEVA DENTAL CLINIC,Jadavpur,10:00:00,13:00:00,Kolkata,300.0,03:00
33,Dr. Siddhartha Nath,Dentist,27.0,BDS,800.0,300.0,Dental Health Clinic,Selimpur Road,18:30:00,21:00:00,Kolkata,1100.0,02:30
34,Dr. Santanu Podder,Dentist,26.0,BDS,300.0,500.0,Airport Dental Clinic,Jessore Road,09:00:00,13:00:00,Kolkata,800.0,04:00
35,Dr. Saurav Mukherjee,Dentist,24.0,BDS,500.0,0.0,Smile 'N' Shine Dental Clinic,Behala,19:00:00,22:30:00,Kolkata,500.0,03:30
36,Deepshikha Chowdhury,Dentist,0.0,Not Mentioned,500.0,250.0,Dr. Deepshikha Chowdhury Multispeciality Dental Clinic,Beliaghata,16:00:00,19:00:00,Kolkata,750.0,03:00
37,Dr. Arnab Kar,Dentist,15.0,BDS,100.0,0.0,ALIGN DENTAL CARE,Bijoygarh,10:00:00,13:00:00,Kolkata,100.0,03:00
38,Dr. O P Agarwal,Dentist,23.0,MDS - Oral & Maxillofacial Surgery,600.0,0.0,Shining 32 Clinic,Ballygunge Park Road,09:00:00,12:30:00,Kolkata,600.0,03:30
39,Dr. Biswajit Panda,Dentist,13.0,BDS,500.0,0.0,White Zone Dental Clinic,Tollygunge,10:30:00,19:30:00,Kolkata,500.0,09:00
40,Dr. Swagata Deb,Dentist,19.0,"MDS - Prosthodontist And Crown Bridge, BDS",300.0,300.0,The Orbit Dental Care,Kasba,17:00:00,20:00:00,Kolkata,600.0,03:00
41,Dr. Aruna Gupta,Dentist,40.0,"BDS, Endo",200.0,200.0,Dental Surgeon,Kankurgachi,09:00:00,16:00:00,Kolkata,400.0,07:00
42,Dr. Shouvik Chowdhury,Dentist,13.0,MDS - Oral & Maxillofacial Surgery,500.0,0.0,Dentamax,Santoshpur,17:00:00,21:00:00,Kolkata,500.0,04:00
43,Dr. Saurabh Gupta,Dentist,13.0,"BDS (Implantologist), MDS - Oral & Maxillofacial Surgery",300.0,0.0,Being Dentist maxillofacial and dental implant clinic,Kankurgachi,10:00:00,16:00:00,Kolkata,300.0,06:00
44,Dr. Indrakamal Majumdar,Dentist,35.0,BDS,500.0,200.0,SMILE LAND DENTAL,Jodhpur Park,16:30:00,20:30:00,Kolkata,700.0,04:00
45,Dt. Swapan Banerjee,Dietitian/Nutritionist,15.0,"MBBS, MD (D.V.L.)",500.0,600.0,Dr Jain Skin and Hair Care Clinic,Bhawanipur,09:30:00,18:30:00,Kolkata,1100.0,09:00
46,Dt. Aparajita Saha,Dietitian/Nutritionist,19.0,"MBBS, MD - Dermatology , Venereology & Leprosy",850.0,900.0,The Newtown Clinic,New Town,09:00:00,11:00:00,Kolkata,1750.0,02:00
47,Dt. Arnab Sarkhel,Dietitian/Nutritionist,16.0,"MBBS, MD - Dermatology, Specialty Certificate, Dermatology(UK)",900.0,0.0,AG Skin Science Clinic,Gariahat,15:00:00,19:00:00,Kolkata,900.0,04:00
48,Dt. Chetu Singhi,Dietitian/Nutritionist,28.0,"MD - Dermatology, Fellow of the American Academy of Dermatology (FAAD), MBBS",800.0,0.0,TREZ Dermatology,Salt Lake,15:00:00,17:30:00,Kolkata,800.0,02:30
49,Dt. Neelam Agarwal,Dietitian/Nutritionist,19.0,"MBBS, MD - Dermatology",900.0,350.0,Tressbeau Dermatology and Laser Clinic,Salt Lake,15:00:00,18:00:00,Kolkata,1250.0,03:00
50,Dt. Soumi Panjal,Dietitian/Nutritionist,10.0,"M.B.B.S, MD - Dermatology, DNB (Dermatology), FRGUHS (Cosmetology)",600.0,800.0,Sonoscan Healthcare Pvt Ltd,CIT Road,16:00:00,17:00:00,Kolkata,1400.0,01:00
51,Dt. Tapasi Hazra,Dietitian/Nutritionist,20.0,"MBBS, MD - Dermatology , Venereology & Leprosy, FDD - Dermatology, Fellowship in Diagnosti...read more",0.0,500.0,Woodlands Multispeciality Hospital -  Alipur,Alipore,19:00:00,20:00:00,Kolkata,500.0,01:00
52,Dt. Juhi Mimani,Dietitian/Nutritionist,15.0,"MBBS, MD - Dermatology , Venereology & Leprosy",500.0,400.0,Medica Superspecialty Hospital,E.M Bypass,18:00:00,19:00:00,Kolkata,900.0,01:00
53,Dt. Shruti Kejriwal,Dietitian/Nutritionist,20.0,"MBBS, MD - MD- Skin & VD",500.0,0.0,Dr. KULDEEP SINGH SKIN HAIR CLINIC & AMERICAN HAIR TRANSPLANT CLINIC,Kalikapur,17:30:00,19:00:00,Kolkata,500.0,01:30
54,Dt. Soumi Sinha,Dietitian/Nutritionist,0.0,Not Mentioned,250.0,0.0,Dr. Paul's Advanced Hair And Skin Solutions – Salt Lake,Kolkata,11:00:00,19:15:00,Kolkata,250.0,08:15
55,Dr. Sucharita Sengupta,Dietitian/Nutritionist,13.0,"MD - Dermatology, Fellowship in dermatosurgery, MBBS, Advance Fellowship in Laser & Dermatosurgery",450.0,0.0,Eleganz Skin & Hair Clinic,Dhakuria,10:00:00,13:00:00,Kolkata,450.0,03:00
56,Dt. Sangita Mondal,Dietitian/Nutritionist,6.0,"BNYS, FMC (Fellow in Med.Cosmetology), PG Diploma in Infectious Diseases",300.0,250.0,MIRAKEL SKIN & BEAUTY CLINIC,Kolkata,10:30:00,14:00:00,Kolkata,550.0,03:30
57,Dt. Poonam,Dietitian/Nutritionist,28.0,MD,100.0,500.0,Manoranjan Homoeo Hall,Thakurpukur,10:00:00,18:00:00,Kolkata,600.0,08:00
58,Dt. Nikita Mitra,Dietitian/Nutritionist,14.0,"MBBS, MD - Dermatology",500.0,600.0,Nova Medical Services,Kolkata,15:00:00,17:00:00,Kolkata,1100.0,02:00
59,Dt. Sanchita Shaw,Dietitian/Nutritionist,24.0,MD,400.0,500.0,Ghosh Clinique,Kolkata,18:00:00,19:00:00,Kolkata,900.0,01:00
60,Dt. Ritu. Nandi,Dietitian/Nutritionist,49.0,"MBBS, MD - Dermatology",800.0,0.0,Skin and Hair Clinic,Kolkata,12:00:00,13:00:00,Kolkata,800.0,01:00
61,Dt. Monalisa Das,Dietitian/Nutritionist,5.0,"MBBS, MD, DNB, FRGUHS",800.0,600.0,Narayana Multispeciality Hospital,Jessore Road,10:00:00,13:00:00,Kolkata,1400.0,03:00
62,Dt. Sneha Majumder,Dietitian/Nutritionist,25.0,MBBS-DVD-PhD,350.0,300.0,Nebula Skin Clinic,Kolkata,10:00:00,13:00:00,Kolkata,650.0,03:00
63,Surabhi Banerjee,Dietitian/Nutritionist,11.0,"MD - Dermatology, MBBS",600.0,500.0,La Derma Skin & Hair Clinic,Salt Lake,09:00:00,19:00:00,Kolkata,1100.0,10:00
64,Dr. Madhurima Roy,Dietitian/Nutritionist,0.0,Not Mentioned,700.0,400.0,Medithics Clinic (On Call),Mukundapur,10:00:00,14:30:00,Kolkata,1100.0,04:30
65,Dt. Anubha Taparia Saraogi,Dietitian/Nutritionist,25.0,MD - MD- Skin & VD,800.0,300.0,The Calcutta Medical Research Institute,Kolkata,11:00:00,14:00:00,Kolkata,1100.0,03:00
66,Dt. Sudeshna Banerjee,Dietitian/Nutritionist,28.0,"MBBS, MD - Dermatology",700.0,0.0,Wizderm Speciality Skin & Hair Clinic,Kolkata,09:00:00,12:00:00,Kolkata,700.0,03:00
67,Mrs. Anuradha Chowdhary,Dietitian/Nutritionist,19.0,"MBBS, MD - Dermatology",400.0,0.0,Dr. Bhattacharyya's Skin And Physio Clinic,Salt Lake,20:00:00,21:00:00,Kolkata,400.0,01:00
68,Dt. Pallavi Majumder,Dietitian/Nutritionist,46.0,"MBBS, DGO, Diploma in Venerology and Dermatology",700.0,0.0,Royd Skin Hair And Laser Center,Kolkata,14:00:00,17:00:00,Kolkata,700.0,03:00
69,Dt. Ankita Das,Dietitian/Nutritionist,24.0,MD,500.0,500.0,Dr. Indrajit Bahali,Kolkata,12:00:00,17:00:00,Kolkata,1000.0,05:00
70,Dt. Jayita Brahmo,Dietitian/Nutritionist,18.0,"MBBS, DNB - Dermatology & Venereology",800.0,0.0,PR DIAGNOSTICS & POLYCLINIC,Dum Dum,18:00:00,19:00:00,Kolkata,800.0,01:00
71,Dt. Munmun Pradhan,Dietitian/Nutritionist,5.0,"MD - Dermatology (Gold medalist), MBBS (Hons.)",800.0,350.0,Dr. Vohra's Skin Clinic,Elgin,15:00:00,17:00:00,Kolkata,1150.0,02:00
72,Dr. Joydeep Roy,Dietitian/Nutritionist,42.0,MD,300.0,500.0,K V C Clinic,Kolkata,19:30:00,21:30:00,Kolkata,800.0,02:00
73,Dt. Sonal Surekha,Dietitian/Nutritionist,0.0,Not Mentioned,250.0,250.0,"Dr. Paul""s Advanced Hair & Skin Solutions",Kolkata,11:00:00,18:00:00,Kolkata,500.0,07:00
74,Dt. Jayita Kundu,Dietitian/Nutritionist,42.0,"MBBS, DDV",200.0,200.0,Spandan Medical,Kolkata,19:00:00,21:00:00,Kolkata,400.0,02:00
75,Ms. Jyoti Pachisia,Dietitian/Nutritionist,14.0,"MD Dermatology, Fellow of cutaneous and laser surgery, MBBS",600.0,200.0,Apex Institute of Medical Sciences,Survey Park,18:30:00,19:30:00,Kolkata,800.0,01:00
76,Dt. Suman Santra,Dietitian/Nutritionist,20.0,MD - Dermatology,500.0,300.0,Floss,Kolkata,18:00:00,20:00:00,Kolkata,800.0,02:00
77,Mr. Soumam Dutta,Dietitian/Nutritionist,30.0,md,300.0,0.0,Dr. Partha Sarathi Sen's Clinic,Dum Dum Park,19:30:00,21:00:00,Kolkata,300.0,01:30
78,Dt. Chandrima Saha,Dietitian/Nutritionist,27.0,"MBBS, MD - Skin & VD",700.0,0.0,Alura Aesthetic Clinic and Diagnostics,Bangur Avenue,18:00:00,19:00:00,Kolkata,700.0,01:00
79,Dr. Minakshi Dutta,Dietitian/Nutritionist,26.0,"MBBS, MD - Dermatology",500.0,0.0,Pristine,Kolkata,16:00:00,18:00:00,Kolkata,500.0,02:00
80,Dt. Anuradha Sharma,Dietitian/Nutritionist,2.0,"MBBS,MD ( DVL)",600.0,400.0,Datta's Dermatology Clinic,Garia,08:30:00,10:00:00,Kolkata,1000.0,01:30
81,Dr. Abhijit Ray,General Physician,13.0,M.Sc - Dietitic,700.0,300.0,Diet Home Clinic,Barrackpore,11:00:00,14:00:00,Kolkata,1000.0,03:00
82,Dr. Ayan Mukherjee,General Physician,17.0,"B.Sc- Food & Nutrition, M.Sc- Food Science & Nutrition, NET (LS)",500.0,250.0,Doctors & Doctors,Sector V,11:00:00,18:30:00,Kolkata,750.0,07:30
83,Dr. Jayita Chattopadhyay,General Physician,13.0,"Diploma in Dietetics Health & Nutrition, Post Graduate Diploma in Nutrition & Health Education",500.0,350.0,Nutrizone Diet Clinic,New Alipore,10:00:00,19:00:00,Kolkata,850.0,09:00
84,Abhishek Chakrabarti,General Physician,10.0,M.Sc - Dietitic,600.0,250.0,Bright healthcare and wellness pvt.ltd,Sakher Bazar,16:30:00,20:00:00,Kolkata,850.0,03:30
85,Dr. Mangala Roy,General Physician,14.0,"M. SC. , B.Sc. - Dietitic",400.0,0.0,Peerless Hospital City Diagnostic Centre,Girish Park,18:00:00,19:00:00,Kolkata,400.0,01:00
86,S. P. Chowdhury,General Physician,10.0,"Diploma in Nutrition & Dietetic, Child Care Nutrition, Certificate course in Weight Manage...read more",500.0,300.0,Urvaraa IVF,Ballygunge,14:00:00,17:00:00,Kolkata,800.0,03:00
87,Dr. Subha Metya,General Physician,10.0,"M.Sc .CDE, Certificate course in  Programming for Infant and Young Child Feeding, FODMAP S...read more",400.0,400.0,Nutri Mania,Kasba,07:00:00,20:30:00,Kolkata,800.0,13:30
88,Dr. Indranil Khan,General Physician,5.0,Clinical Nutritionist,0.0,350.0,NutriHeal  Clinic,Ho Chi Minh Sarani,10:00:00,20:00:00,Kolkata,350.0,10:00
89,Dr. Goma Bali Bajaj,General Physician,12.0,"BSc, Diploma In Diet & Nutrition, Post Graduation Diploma In Dietetics",0.0,350.0,The Homely Diet Clinic,Salt Lake,11:00:00,14:00:00,Kolkata,350.0,03:00
90,Dr. Dibyendu Dutta,General Physician,34.0,"MSC in Food Processing and Nutrition, Diploma in Dietetics, ,RD Dietitian",800.0,350.0,Health Point Nursing Home,Paddapukur Road,10:00:00,20:45:00,Kolkata,1150.0,10:45
91,Dr. Bhaswar Bhattacherjee,General Physician,12.0,"DNHE, Diploma In Diet & Nutrition",0.0,350.0,JM Nutrition,Kolkata,11:00:00,13:00:00,Kolkata,350.0,02:00
92,Dr. Aakash Pal,General Physician,9.0,"Diploma in Dietetics, Health and Nutrition (DDHN)",0.0,300.0,Dt. Seema Poddar Diet Clinic,Camac Street,11:00:00,17:30:00,Kolkata,300.0,06:30
93,Dr. Dipu Shaw,General Physician,16.0,"RD (All India Topper), MSc. Clinical Nutrition & Dietetics, P.G Certificate, Diabetes Educ...read more",600.0,0.0,N.G Medicare Clinic,Rash Behari Avenue,15:00:00,18:00:00,Kolkata,600.0,03:00
94,Dr. S M Ali,General Physician,13.0,M.Sc - Dietitic,0.0,150.0,Bright Healthcare & Wellness Private Limited,Behala Chowrasta,,,Kolkata,150.0,
95,Dr. Shabbir Ahmed,General Physician,16.0,"M.Sc -  Dietetics and Food Service Management, B.Sc. - Dietitic",0.0,499.0,BNS Clinic & Healthcare Pvt Ltd,Garia,11:00:00,13:00:00,Kolkata,499.0,02:00
96,Dr. Mir Tahmid Zaman,General Physician,15.0,"M.Sc  Food & Nutrition, B.Sc. - Dietitic",200.0,0.0,Ritu Nandi,Dum Dum Cant,09:30:00,11:30:00,Kolkata,200.0,02:00
97,Biswadeep Sengupta,General Physician,11.0,"M.Sc in Applied Nutrition, B.Sc. - Dietitic",0.0,850.0,Health help - With Sneha Majumder,Haltu,,,Kolkata,850.0,
98,Dr. Bhaskar Banik,General Physician,12.0,Msc - Dietetics and Community Nutrition,800.0,500.0,Pathak Medical Hall,Kolkata,10:00:00,18:00:00,Kolkata,1300.0,08:00
99,Dr. Partha Sarathi Sengupta,General Physician,11.0,"M.sc- Applied Nutrition, West Bengal State University, sports authority of India",500.0,300.0,Nutrindulged Clinic,Kolkata,19:30:00,21:00:00,Kolkata,800.0,01:30
100,Dr. S P Upadhyay,General Physician,4.0,"Masters in Clinical Nutriton (MCN), Certificate in Lifecycle and wellness Nutrition, certi...read more",600.0,500.0,Apollo clinic dunlop,Dunlop,18:00:00,19:30:00,Kolkata,1100.0,01:30
101,Dr. Debashis Chatterjee,General Physician,13.0,"Masters in Nutritional Therapy, N.E.T, IDA Council",0.0,300.0,Millennium Health Care,Salt Lake,,,Kolkata,300.0,
102,Dr. Ritwik Roy,General Physician,12.0,"MSC - Dietitics & community nutrition, PG Diploma in Diecs",300.0,600.0,pallavi majumder,Netaji Nagar,16:30:00,20:00:00,Kolkata,900.0,03:30
103,Dr. Shibsankar Pal,General Physician,12.0,"MSCDFSM, BSc-Food and Applied Nutrition",500.0,500.0,DO OR DIET,Madhyamgram,09:00:00,21:00:00,Kolkata,1000.0,12:00
104,Dr. Saptarshi Banerjee,General Physician,9.0,"Post Graduate in Food & Nutrition, Certified Diabetes Educator, Graduate in Food & Nutrition",500.0,500.0,Residential Chamber,Bow Bazar,16:00:00,17:00:00,Kolkata,1000.0,01:00
105,Dr. Asok Kumar Nandi,General Physician,12.0,M.sc in dietetics and community nutrittion management,500.0,300.0,Dr.B.C.Roy Hospital,Kolkata,,,Kolkata,800.0,
106,Dr. Mousumi Hossain,General Physician,9.0,"M.Sc in Dietetics and Applied Nutrition, B.Sc in Food Science and Nutrition Management",800.0,0.0,Nutridiction,Sudder Street,10:00:00,18:00:00,Kolkata,800.0,08:00
107,Dr. Mahesh Kumar Maskara,General Physician,0.0,Not Mentioned,700.0,399.0,Friends Diagonistic Centre,Patuli,09:00:00,14:00:00,Kolkata,1099.0,05:00
108,Dr. Sourav Soumya,General Physician,0.0,Not Mentioned,0.0,100.0,HEALTHY EATING HABITS - NUTRITION EDUCATOR (JYOTI PACHISIA),Kolkata,16:00:00,18:00:00,Kolkata,100.0,02:00
109,Dr. Sadhu D K,General Physician,7.0,"Msc, Certified Diabetes Educator, Diploma in Sports Nutrition, Certificate in nutrition, B...read more",500.0,300.0,Mars polyclinic,Garia,17:00:00,20:00:00,Kolkata,800.0,03:00
110,Dr. Sanjeev Kumar,General Physician,2.0,Masters in Applied Nutrition,700.0,550.0,Food Doc,Kolkata,15:30:00,17:30:00,Kolkata,1250.0,02:00
111,Dr. Narayan Banerjee,General Physician,5.0,"Junior Research Fellow (PhD), MSc Food and Nutrition , BSc (Hons) Food and Nutrition , Cer...read more",500.0,200.0,Eat HEALTHY,Kolkata,17:00:00,07:00:00,Kolkata,700.0,14:00
112,Saurav Kumar Paul,General Physician,10.0,"M Sc Food Science and Nutrition, Certified Diabetes Educator",0.0,500.0,Nakuleswar Medicine Shop,Dum Dum Road,,,Kolkata,500.0,
113,Dr. Rahul Mishra,General Physician,31.0,B.Sc - Dietitic,0.0,350.0,Life Beyond Diets,Bangur Avenue,11:30:00,17:30:00,Kolkata,350.0,06:00
114,Dr. Suman Biswas Md Mbbs,General Physician,50.0,MBBS,500.0,0.0,A.D Center,Kalighat,16:00:00,19:00:00,Kolkata,500.0,03:00
115,Dr. Atul,Orthopedist,8.0,MBBS,500.0,100.0,Dr. Md Abdullah Asghar,Sinthee,09:00:00,11:00:00,Kolkata,600.0,02:00
116,Dr Deep Chakraborty,Orthopedist,30.0,"Diploma In Diabetology, Diploma In Cardiology",400.0,300.0,Doctors' Point,Dhakuria,20:00:00,22:00:00,Kolkata,700.0,02:00
117,Dr. Bappaditya Sarkar,Orthopedist,6.0,"MD - Pharmacology, Diploma In Endocrinology",500.0,400.0,Loknath Doctors Chamber,Tollygunge,20:30:00,22:30:00,Kolkata,900.0,02:00
118,Dr. Sanjoy Biswas,Orthopedist,10.0,"MBBS , Post Graduation Diploma in Anaesthesiology , MD - Pharmacology",500.0,50.0,Medihut Pharmacy and Clinic,Garia,17:00:00,21:00:00,Kolkata,550.0,04:00
119,Dr. Sudipta Bandyopadhyay,Orthopedist,32.0,MBBS,300.0,350.0,S S Clinic,Kasba,19:30:00,20:30:00,Kolkata,650.0,01:00
120,Dr. Aswini Pathak,Orthopedist,12.0,"MBBS, MD - General Medicine, DM - Nephrology",500.0,300.0,Suraksha Kharda (On Call),Khardah,19:00:00,21:00:00,Kolkata,800.0,02:00
121,Dr. Prof. Arunangshu Bhatacharyya,Orthopedist,37.0,"Master of Hospital Administration, DTM&H, MBBS",200.0,0.0,Polestar Medicine Shop & Home,Rajarhat,09:00:00,18:00:00,Kolkata,200.0,09:00
122,Dr. Shumayou,Orthopedist,40.0,"MBBS, PG Diploma in Hospital Management & Hospital Administration (PGDH&HM), M Phil",300.0,0.0,Dr Chowdhury's Chamber,Mukundapur,09:00:00,21:00:00,Kolkata,300.0,12:00
123,Dr. Siddhartha Gupta,Orthopedist,8.0,MBBS,150.0,99.0,Wellness centre,Kolkata,07:00:00,23:00:00,Kolkata,249.0,16:00
124,Dr. Anindya Dutt,Orthopedist,12.0,"MBBS, MD , European Society for Medical Oncology certification",900.0,100.0,The Calcutta Medical Research Institute,Taratala,15:00:00,17:00:00,Kolkata,1000.0,02:00
125,Dr. Debasish Naskar,Orthopedist,30.0,"MEM , Diploma In Geriatric, MBBS",300.0,400.0,Goma Bali Bajaj Clinic,Alipore,07:00:00,07:00:00,Kolkata,700.0,00:00
126,Dr. Tanmoy Karmakar,Orthopedist,12.0,"MD, MBBS",500.0,500.0,Spandan Hospital,Mukundapur,20:00:00,07:00:00,Kolkata,1000.0,11:00
127,Dr. Susmit Naskar,Orthopedist,44.0,MBBS,200.0,0.0,Dr. Debasish Clinic,Shobhabazar,17:30:00,20:30:00,Kolkata,200.0,03:00
128,Dr. Abhilash Sarkar,Orthopedist,18.0,"MBBS, DPH, MD",300.0,0.0,DR.SUKANTA DAS.MD.,Hridaypur,08:30:00,09:30:00,Kolkata,300.0,01:00
129,Dr. Samrat Sen,Orthopedist,4.0,"MBBS, Fellowship in Emergency Medicine (FEM), Advanced Cardiac Life Support ( ACLS ), Basi...read more",800.0,300.0,J D Clinic,Lake Gardens,11:00:00,12:00:00,Kolkata,1100.0,01:00
130,Dr. Surya Udai Singh,Orthopedist,10.0,MBBS,400.0,150.0,Sanjeevani The Doctor's Clinic,Kolkata,16:00:00,17:00:00,Kolkata,550.0,01:00
131,Mr. Debasis Jana(pt),Orthopedist,0.0,Not Mentioned,400.0,400.0,DR. JYOTI BISWAS CLINIC,Barasat,09:00:00,17:00:00,Kolkata,800.0,08:00
132,Dr. Anindansu Basu,Orthopedist,7.0,Mbbs,650.0,300.0,Dr S M Ali,Kolkata,10:45:00,12:45:00,Kolkata,950.0,02:00
133,Dr. Saubhik Das,Orthopedist,18.0,"MD - General Medicine, MBBS",300.0,0.0,Suraksha Clinic,New Market,17:00:00,18:00:00,Kolkata,300.0,01:00
