,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
25,Dr. P.Lakshmipathy,Dentist,23,MDS - Orthodontics,₹ 300,₹ 100,rishii dental care,Nandanam,,05:00 PM,08:30 PM,Chennai
26,Dr. Sivakumar P,Dentist,15,"Post-Graduate Certificate in Oral Implantology (PGCOI), BDS",₹ 300,₹ 100,White Pearl Dental Care,Mogappair West,,10:00 AM,02:30 PM,Chennai
27,Dr. Vk Shakeel Ahmed,Dentist,27,MDS - Orthodontics,₹ 200,,NK Smile and Profile Dental Clinic and Orthodontic Centre,Triplicane,,05:00 PM,09:30 PM,Chennai
28,Dr. Vidhya Sabari,Dentist,20,BDS,,₹ 30,,,Root canal,09:30 AM,09:00 PM,Chennai
29,Dr. V. Aravinth Vetrivel,Dentist,15,"BDS, MDS",₹ 200,₹ 300,V G Multispeciality Dental Clinic,Chennai,,05:30 PM,09:00 PM,Chennai
30,Dr. Akshay Satwik,Dentist,6,"BDS (Implantologist), MBA (Hospital & Healthcare Management), Fellowship in Aesthetic Dent...read more",₹ 300,₹ 100,Soul Dental Care,Adyar,,09:00 AM,09:30 PM,Chennai
31,Dr. Dinesh Ram Raja,Dentist,12,"BDS, MDS - Orthodontics",₹ 200,₹ 100,RUPA DENTAL CARE,Chennai,,10:00 AM,02:00 PM,Chennai
32,Dr. Karthikeyan .,Dentist,16,MDS - Periodontics,₹ 100,,Karthikeyan,Valasaravakkam,,05:30 PM,09:00 PM,Chennai
33,Dr. Bhuvana Shanmugam,Dentist,13,"MDS Prosthodontics, BDS (Implantologist)",₹ 100,₹ 100,k smile dental care,Chennai,,10:00 AM,02:00 PM,Chennai
34,Dr. Soosi Christopher,Dentist,32,"BDS, Certificate in Dental Implants",₹ 300,₹ 300,Oyster Dental Care,Anna Nagar,,10:00 AM,02:00 PM,Chennai
35,Dr. R.Lakshmi Prabha,Dentist,20,BDS,₹ 200,,dr.r.lakshimi prabhha dental clinic,Vadapalani,,09:30 AM,09:00 PM,Chennai
36,Dr. Pia Patel,Dentist,12,"MDS Prosthodontics, Advanced Aesthetics",₹ 500,₹ 300,KP Care Centre,Anna Nagar West,,11:00 AM,08:00 PM,Chennai
37,Dr. Kameshwaran M,Dentist,11,"MDS, Bachelor of Dental Surgery",₹ 250,₹ 50,Dr Lp Mohan Dental Clinic,Anna Nagar,,05:00 PM,08:30 PM,Chennai
38,Dr. A R Akbar,Dentist,19,"MDS, BDS",₹ 200,,NOOR DENTAL,Royapettah,,05:00 PM,09:00 PM,Chennai
39,Dr. U.Mythili,Dentist,16,BDS,₹ 200,₹ 10,OMR Dental Center,OMR road,,05:00 PM,08:30 PM,Chennai
40,Dr. V.Ashok,Dentist,25,"BDS, MDS Prosthodontics, Diplomate ICOI, PhD - Prosthodontics",₹ 100,₹ 100,Vriksha Dental Care,Avadi,,10:00 AM,09:00 PM,Chennai
41,Dr. V.Narendran,Dentist,14,BDS,₹ 100,₹ 100,,,,,,Chennai
42,Dr. Srinath Subramaniam,Dentist,15,"MDS, BDS",₹ 100,₹ 100,,,Root canal,,,Chennai
43,Dr. Parthipan Gopalkrishnan,Dentist,18,BDS,₹ 200,,G.P.MULTISPECIALITY HOSPITAL,Chennai,,10:30 AM,01:00 PM,Chennai
44,Dr. Ohm Nijandhan.K,Dentist,11,BDS,₹ 50,,Stunning Smiles Dental & Hearing Aid Clinic,Thirumangalam,,10:00 AM,07:00 PM,Chennai
45,Dr. Manimalla Shivaaji,Dentist,15,"BDS, MDS - Periodontics and implantologist",₹ 150,,S.R Family Dental Clinic,Thuraipakkam,,05:00 PM,08:30 PM,Chennai
46,Dr. S.Muthuramaswami,Dentist,39,"BDS, DDS",₹ 250,₹ 300,Balaji Dental,Mahabalipuram,,09:00 AM,08:00 PM,Chennai
47,Dr. Nalla Sivam Children Dentist,Dentist,18,,,,,,"Dental Care, Root canal, Root Canal Treatment",07:30 AM,09:00 PM,Chennai
48,Dr. Kaleem Ajmal,Dentist,8,MDS - Oral & Maxillofacial Surgery,₹ 300,₹ 300,AK ENT & DENTAL CLINIC,Chennai,,05:30 PM,09:00 PM,Chennai
49,Dr. Deepika Selvam,Dentist,6,BDS,₹ 100,₹ 100,D&D DENT CARE,Chennai,,10:30 AM,12:30 PM,Chennai
50,Dr. Narasimhalu C.R.V.(Professor),Dermatologist,25,"MBBS, MD",₹ 400,₹ 400,Sai Skin & Cosmetic Clinic,Anna Nagar,"Hair Fall, Acne/Pimples, Hair GrowthNext ",06:30 PM,08:00 PM,Chennai
51,Dr. J Rajeshwari,Dermatologist,24,"MBBS, MD - Dermatology, Venereology & Leprosy",₹ 750,,,,,10:00 AM,07:00 PM,Chennai
52,Dr. Saravanan.B.N,Dermatologist,22,"Diploma In Dermatology & Venerology And Leprosy (DDVL), MBBS",₹ 350,₹ 600,Sree Skin Hair & Cosmetic Clinic,Velachery,"Skin Care, Advanced Skin Care, Ear Lobe RepairNext ",09:30 AM,12:30 PM,Chennai
53,Dr. Merwin P,Dermatologist,18,Diploma In Dermatology And Venerology And Leprosy (DDVL),₹ 300,₹ 300,GOWTHAM SKIN CLINIC,Thiruvottiyur,,06:00 PM,09:00 PM,Chennai
54,Dr. V.Sethu Raman,Dermatologist,16,"MD - Dermatology , Venereology & Leprosy, MBBS",₹ 500,,₹ 1,000 onlineDr V. Sethuraman Clinic,"Hair Fall, Hair Loss, Acne/PimplesNext ",11:00 AM,02:00 PM,Chennai
55,Dr. Nidhi Singh,Dermatologist,20,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 700,,Gleneagles Global Health City - Chennai (On Call),Perumbakkam,"Pimples, Pimples Treatment, Chemical PeelsNext ",09:30 AM,01:30 PM,Chennai
56,Dr. Hema Anandhi,Dermatologist,22,"MBBS, DDVL",₹ 350,₹ 300,Doctors Plaza,Velachery,,11:00 AM,01:00 PM,Chennai
57,Dr. Umapathy,Dermatologist,29,"MBBS, Diploma in Dermatology, Diploma in Industrial Hygiene, PG diploma in hospital management",₹ 500,₹ 300,Sooriya Hospital,Saligramam,,08:00 PM,08:30 PM,Chennai
58,Kaya Skin Clinic,Dermatologist,16,Dermatology Backed Expert Skin & Hair Care Solution,₹ 500,,,,"Acne Scars, Pimples Treatment, Acne/Pimples",,,Chennai
59,Dr. Chithra Thenramasamy,Dermatologist,19,"Bachelor of Medicine, Bachelor of Surgery (M.B.B.S.), Medicine, Diploma In Dermatology And...read more",₹ 400,₹ 350,SKY Clinic,Chennai,,05:30 PM,08:15 PM,Chennai
60,Dr. Thilak S,Dermatologist,21,"MD - Dermatology, Venereology and Leprosy, MBBS",,,,,"Dark Skin, Acne/Pimples, Pimples",,,Chennai
61,Dr. Adikrishnan S,Dermatologist,24,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL), DNB",₹ 400,,Adi's skin Clinic,Porur,,05:00 PM,07:30 PM,Chennai
62,Dr. Prabhakar Rajappa,Dermatologist,20,Diploma In Dermatology And Venerology And Leprosy (DDVL),₹ 300,₹ 300,Royal skin,Hair & Laser Clinic,AllergyNext ,05:00 PM,09:00 PM,Chennai
63,Oliva Skin & Hair Clinic,Dermatologist,19,"MD - Dermatology, Trichologist",₹ 600,,,,"Scar Treatment, Pigmentation, Ear Lobe Repair",10:00 AM,08:00 PM,Chennai
64,Dr. Mohd Sadiq Umar,Dermatologist,14,"MD - Dermatology , Venereology & Leprosy, MBBS",₹ 400,₹ 50,Elixir Speciality Clinic,Tambaram,"Acne / Pimples Treatment, Pimples Treatment, PimplesNext ",05:00 PM,08:00 PM,Chennai
65,Dr. Ariganesh Chandrasegaran,Dermatologist,16,"MBBS, MD - Dermatology",₹ 500,₹ 400,DermaClinix - Chennai,Mylapore,"PRP Hair Transplant Treatment, Hair Treatment",10:30 AM,05:30 PM,Chennai
66,Dr. Syed Naazeer,Dermatologist,10,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD",₹ 300,,NADHIRA COSMO CLINIC,Chennai,,06:00 PM,08:30 PM,Chennai
67,Dr. B T Priya,Dermatologist,24,"MD - Dermatology, MBBS",₹ 500,,Chiru Skin & Hair Clinic,Kilpauk,,05:30 PM,08:00 PM,Chennai
68,Zion Aesthetics Skin And Hair Clinic,Dermatologist,,,₹ 500,₹ 350,Zion Aesthetics Skin And Hair Clinic,Nungambakkam,,05:00 PM,08:00 PM,Chennai
69,Dr. Durai Babu Mukkara,Dermatologist,24,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL), DNB (Dermatology), Fellows...read more",,,,,Wart Removal,09:00 AM,09:00 PM,Chennai
70,Vlcc Wellness,Dermatologist,,,,,,,,07:00 AM,09:00 PM,Chennai
71,Dr. Deepika Lunawat,Dermatologist,13,MD - Dermatology,₹ 400,,Mahi Skin Hair & Nail Clinic,Kilpauk,"Hair Transplant, Pimples, AntiageingNext ",05:00 PM,07:00 PM,Chennai
72,Dr. Selva Prabu,Dermatologist,26,"MBBS, MD - Dermatology, MD - Dermatology , Venereology & Leprosy",₹ 700,₹ 350,Zion Aesthetics Skin And Hair Clinic,Nungambakkam,,05:00 PM,08:00 PM,Chennai
73,Dr. S.Anupama Roshan,Dermatologist,23,"MBBS, DDVL",₹ 350,,Renew Skin Clinic,Thiruvottiyur,,07:00 PM,09:00 PM,Chennai
74,Dr. Archana M,Dermatologist,15,"Diploma In Dermatology And Venerology And Leprosy (DDVL), MBBS",₹ 600,,Skeptre - Dermatology & Aesthetics,R A Puram,"Pimples, Vampire Face Lift, Acne Scars TreatmentNext ",11:00 AM,05:00 PM,Chennai
75,Dr. Kiruba Dheenadhayalan,Dermatologist,11,"MBBS, MD - Dermatology, Venereology & Leprosy",₹ 300,₹ 300,Sri Venkateshwara Skin & Laser Clinic,Kandanchavadi,,10:00 AM,02:00 PM,Chennai
76,Dr. Sajai Varghese,Dermatologist,32,"MBBS, MD - Dermatology, M.D, (Skin), DNB, FAGE",,,,,,06:00 PM,09:00 PM,Chennai
77,Skinlab By Dr. Jamuna Pai,Dermatologist,31,MBBS,₹ 500,₹ 350,,,,09:00 AM,06:00 PM,Chennai
78,Dr. Nithya Priyadharshini,Dermatologist,16,"MD - Dermatology , Venereology & Leprosy, MBBS",₹ 200,,KO's Skin & Hair Clinic,Pammal,,07:00 PM,09:00 PM,Chennai
79,Dr. Chandan Ashokan,Dermatologist,24,"MBBS, MD ( D.V.L)",₹ 500,₹ 200,Aanya Skin Clinic,Alwarpet,,10:00 AM,08:00 PM,Chennai
80,Dr. A M Jayaraaman,Dermatologist,48,"MBBS, MD - Dermatology, Diploma in Dermatology",₹ 500,,A N Skin and Cosmetic Clinic,Mylapore,,06:00 PM,08:30 PM,Chennai
81,Dr. D Manoharan,Dermatologist,28,"MBBS, MD - Dermatology",₹ 300,₹ 200,Velachery Skin & Hair Care Centre,Velachery,"Corn Removal, Skin RashNext ",06:00 PM,08:30 PM,Chennai
82,Dr. Shanthini Manickavasagam,Dermatologist,10,"MD - Dermatology, MBBS",₹ 400,,Shanthini Skin Clinic,Nanganallur,,07:00 PM,09:00 PM,Chennai
83,Dr. Bhuvanashree N,Dermatologist,10,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Dermatology , Venereology & Leprosy",₹ 700,₹ 700,Buviis Dermagicalz,Adyar,,03:00 PM,07:00 PM,Chennai
84,Dr. Gayathri Devi,Dermatologist,28,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL)",₹ 400,,Derma Med Spa the Skin Clinic,Chennai,Acne Treatment,12:00 PM,03:00 PM,Chennai
85,Dr. Durai Raj,Dermatologist,24,MBBS,₹ 100,,Saraswati Hospital,Thiruvottiyur,,08:00 AM,12:30 PM,Chennai
86,Dr. Subhash Dasarathan,Dermatologist,13,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 250,₹ 500,Anto Speciality Clinic,Medavakkam,,06:30 PM,08:30 PM,Chennai
87,Dr. Yamini Krishnasamy,Dermatologist,11,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 400,₹ 300,SKYN CARE CLINIC,Alandur,,12:30 PM,08:30 PM,Chennai
88,Dr. Ravichandran G,Dermatologist,43,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma in Dermatology, MD - Dermatology",,,,,,05:00 PM,08:00 PM,Chennai
89,Dr. Amudha,Dermatologist,29,"MBBS, Diploma in Dermatology",₹ 300,,Dr.Amudha's Skin Care Clinic,Thoraipakkam,,05:30 PM,08:30 PM,Chennai
90,Dr. Divyalakshmi Chandrasekaran,Dermatologist,4,MD - Dermatology,₹ 500,₹ 350,Vignesh,Virugambakkam,,08:00 PM,09:00 PM,Chennai
91,Dermis Skin & Hair Clinic,Dermatologist,,,₹ 500,,Dermis Skin & Hair Clinic,Adyar,,10:30 AM,08:00 PM,Chennai
92,Dr. J D Prasad Victor,Dermatologist,46,MBBS,₹ 200,,Dr Victors Skin Hair & Nail Clinic,Ashok Nagar,Hair Treatment,10:00 AM,08:00 PM,Chennai
93,Dr. Renuka Rama Krishnan,Dermatologist,37,"MBBS, MD",₹ 300,,Amma Hospital,Nungambakkam,,10:30 AM,12:30 PM,Chennai
94,Dr. Varun Rajagopal,Dermatologist,7,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Dermatology, DNB (Dermatology)",₹ 250,₹ 250,Victory General,Mandaveli,,06:30 PM,08:30 PM,Chennai
95,Dr. Sathya Moorthy,Dermatologist,27,"MBBS, DDVL, AFIH",₹ 150,,Sai Skin Clinic,Guduvancheri,,06:30 PM,09:00 PM,Chennai
96,Dr. C V Padmanandan,Dermatologist,26,"MBBS, MD",₹ 500,₹ 500,Sethu Skin And Laser Clinic,Chennai,,10:00 AM,08:00 PM,Chennai
97,Dr. P Anoosha Reddy,Dermatologist,16,"MBBS, MD Dermatology",₹ 500,₹ 250,Amara Hospital,Chennai,,09:00 AM,08:00 PM,Chennai
98,Dr. Anuj Singh,Dermatologist,19,"DDVL, MBBS",₹ 700,,Ram Skin Clinic Adambakkam,Adambakkam,AllergyNext ,10:00 AM,05:00 PM,Chennai
99,Dr. S Murugan,Dermatologist,28,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 500,,Sundram Skin Clinic,Aminjikarai,,05:00 PM,09:00 PM,Chennai
100,Dt. Ms. Gomathy Gowthaman,Dietitian/Nutritionist,35,,,₹ 700,Gomathy Gowthaman Diet Clinic,Anna Nagar East,,10:00 AM,01:00 PM,Chennai
101,Dr. S.Sridevi Sesuramanujam,Dietitian/Nutritionist,21,"MBBS Bachelor of Medicine and Bachelor of Surgery, PG - Graduate Diploma In Health Science...read more",,₹ 500,Prashanth Super Speciality Hospital,Velachery,,10:00 AM,02:00 PM,Chennai
102,Dt. Shiny Chandran,Dietitian/Nutritionist,28,,₹ 300,,Hande Medical Centre,Nungambakkam,,10:30 AM,05:30 PM,Chennai
103,Dr. Lavanya Shanmugasundaram,Dietitian/Nutritionist,12,,,,,,,04:00 PM,08:00 PM,Chennai
104,Dt. Vijayalakshmi M,Dietitian/Nutritionist,12,,,,,,Diet Planning,10:00 AM,01:00 PM,Chennai
105,Dt. Mini Thomas,Dietitian/Nutritionist,36,"Masters in Dietetics and Food Service Management, B.Sc - Home Science, Certified Diabetes ...read more",₹ 500,,₹ 1,000 onlineNUTRIGENEDIETS,,02:00 PM,07:00 PM,Chennai
106,Dt. Shail Yadav,Dietitian/Nutritionist,16,,₹ 800,₹ 350,Infinity Diet Clinic,Padur,,09:00 AM,07:30 PM,Chennai
107,Dt. Preeti Raj,Dietitian/Nutritionist,16,"PhD - Nutrition & Dietitics, MSc - Food & Applied Nutrition, M.Phil - Foods & Nutrition",₹ 500,,Wootu Nutrition,Avadi,,09:30 AM,09:00 PM,Chennai
108,"Dt. Savitha Msc, M.D, M.D.B.F, Bssdacu, M.D.Vr.T",Dietitian/Nutritionist,22,"MSc Food & Nutrition, BSc Nutrition, Food Service Management & Dietetics, Yoga, Visual art...read more",₹ 500,₹ 200,Sai Food & Acu Therapy,Chennai,,10:00 AM,05:00 PM,Chennai
109,Dt. Ryan Fernando,Dietitian/Nutritionist,27,"AGMP, M.Sc - Food Biotechnology, M.Sc.-Clinical Biochemistry",,,,,,10:00 AM,06:00 PM,Chennai
110,Dt. Sangeetha Natarajan,Dietitian/Nutritionist,16,"Mphil Nutrition & Dietetics, MBA Human Resource Management",₹ 500,₹ 400,Rite Choice,Alandur,,09:30 AM,08:00 PM,Chennai
111,Dt. Gifta Mary Suganya,Dietitian/Nutritionist,11,"M.sc Dietitics and food service management, B.sc Food service management and Dietitics",,,,,,06:00 PM,08:00 PM,Chennai
112,Ms. Suganya B,Dietitian/Nutritionist,8,MSc - Food Science and Nutrition,₹ 300,₹ 300,Sri Ramachandra Medical Center,Porur,,08:00 AM,04:00 PM,Chennai
113,Mrs. Indira Priyadharshini,Dietitian/Nutritionist,4,"Diploma in Sports Nutrition, MBA (Hospital & Healthcare Management), B.Sc Food & Nutrition",,₹ 400,Mrs. Indira Priyadharshini,Vadapalani,,10:00 AM,04:45 PM,Chennai
114,Dr. Sebatini Ignatius Manoj,Dietitian/Nutritionist,11,"Masters in Clinical Nutrition and Dietetics (MCND), Bachelor of Science nutrition, dieteti...read more",,₹ 750,,,,,,Chennai
115,Mr. Danniel Nimz,Dietitian/Nutritionist,10,,₹ 500,₹ 100,,,Weight LossNext ,07:00 AM,10:00 PM,Chennai
116,Dr. Jasmine Helen,Dietitian/Nutritionist,19,"MSc - Food and Applied Nutrition, Mphil - Food , Nutrition & Dietitics, NET",₹ 300,₹ 300,Healthy diet studio,Chennai,,06:00 PM,08:00 PM,Chennai
117,Dt. Ramaraj Nagaraj,Dietitian/Nutritionist,15,"Msc, BSc",₹ 500,₹ 500,Aaish Nutri-Life,Chennai,,04:00 PM,10:00 PM,Chennai
118,Dr. Varsha Easwaran,Dietitian/Nutritionist,,,,,,,,11:00 AM,12:00 PM,Chennai
119,Dt. Monica Kothari Lodha,Dietitian/Nutritionist,,,₹ 200,₹ 500,Kumaran Childcare Hospital,Chennai,,09:00 AM,01:00 PM,Chennai
120,Dt. Varsha,Dietitian/Nutritionist,,,,,,,,08:00 AM,04:00 PM,Chennai
121,Dr. Sundari S,Dietitian/Nutritionist,,,₹ 350,₹ 300,Food Med,West Mambalam,,09:00 AM,05:00 PM,Chennai
122,Dt. Nisha Narayanan,Dietitian/Nutritionist,12,M.Sc - Clinical Nutrition,,₹ 500,Nisha Diet clinic,Chennai,,04:00 PM,09:30 PM,Chennai
123,Dr. Swaha Chattopadhyay,Dietitian/Nutritionist,,,₹ 0,,Apollo Hospitals,Greams Road,,09:00 AM,06:00 PM,Chennai
124,Mr. Aakash,Dietitian/Nutritionist,11,Bsc Sports and Exercise Science,₹ 0,₹ 500,Diet & Fit,K K Nagar,,11:00 PM,08:30 PM,Chennai
125,Ms. Pradheepa,Dietitian/Nutritionist,9,"Masters in dietitics, Bachelor in food science",₹ 200,₹ 200,Thiruvanmiyur,Thiruvanmiyur,,09:00 AM,08:00 PM,Chennai
126,Dt. Ramya Ramachandran,Dietitian/Nutritionist,10,MSc,,₹ 500,CH -33,West Mambalam,,11:00 AM,12:30 PM,Chennai
127,Mr. Rakesh K,Dietitian/Nutritionist,,,₹ 44,,fgggg,Rajakulam,,09:00 AM,11:45 AM,Chennai
128,Ms. Rajeswari,Dietitian/Nutritionist,,,₹ 45,,1234456,Hariharan Diabetes Hospital,,09:15 AM,11:00 PM,Chennai
129,Mr. Ramesh Kumar,Dietitian/Nutritionist,,,₹ 34,,dddd,Hindu Mission Health Services,,09:00 PM,09:45 PM,Chennai
130,Dt. Geetha Veeraraju,Dietitian/Nutritionist,,,₹ 500,,Wonder Diet Clinic,Medavakkam,,07:00 AM,11:00 PM,Chennai
131,Dr. Subhalaxmi Moitra,Dietitian/Nutritionist,,,₹ 400,,Apollo Hospitals,Chennai,,10:00 AM,05:00 PM,Chennai
132,Mr. Shashi Rayka,Dietitian/Nutritionist,,,₹ 56,,12,Fortis Malar Hospital,,10:00 AM,08:15 PM,Chennai
133,Dr. Ms. Punitha,Dietitian/Nutritionist,,,₹ 0,,Abhijay Hospital Pvt Ltd,Perambur,,09:00 AM,09:00 PM,Chennai
134,Dt. Kripa   Susan Verghese,Dietitian/Nutritionist,,,,,,,,,,Chennai
135,Dt. Punitha,Dietitian/Nutritionist,,,,,,,,09:00 AM,09:00 PM,Chennai
136,Dt. Ms. Shiny Esther,Dietitian/Nutritionist,12,"M.sc - Foods and Nutrition, B.Sc - Food Service Management and Dietetics",₹ 0,,Qua Nutrition Anna nagar,Anna Nagar East,,10:00 AM,07:00 PM,Chennai
137,Dr. Sridevi Narayanan,Dietitian/Nutritionist,,,₹ 0,,Institute Of Child Health Hospital,Chennai,,08:00 AM,12:00 PM,Chennai
138,Totalkneereplacemen,Dietitian/Nutritionist,,,,,,,,10:00 AM,01:00 PM,Chennai
139,Dt. V S Rangaraajan,Dietitian/Nutritionist,15,Nutrition Certification,₹ 500,,WAY 2 HEALTH,West Mambalam,,10:00 AM,11:00 PM,Chennai
140,Dr. Bhanupriya Vimalkumar,Dietitian/Nutritionist,,,₹ 250,,Apollo Speciality Hospitals,Chennai,,09:00 AM,05:30 PM,Chennai
141,Dr. Dhana Lakshmi,Dietitian/Nutritionist,,,₹ 500,,Apollo Hospitals,Chennai,,10:00 AM,06:00 PM,Chennai
142,Dr. Mehalanehru Rajkumar,Dietitian/Nutritionist,,,₹ 250,,Apollo Speciality Hospital,Perungudi,,07:00 AM,04:00 PM,Chennai
143,Dr. Suganya Rajesh,Dietitian/Nutritionist,,,₹ 250,,Vijaya Health Centre,Chennai,,08:00 AM,05:00 PM,Chennai
144,Dr. Merlin Roshani,Dietitian/Nutritionist,,,,,,,,09:00 AM,05:30 PM,Chennai
145,Dr. Parvathy .P,Dietitian/Nutritionist,,,,,,,,09:30 AM,05:00 PM,Chennai
146,Dr. Balaprasanna,Dietitian/Nutritionist,,,₹ 500,,Dr.Mehta hospital,Chennai,,10:00 AM,04:00 PM,Chennai
147,Dr. Praseedha,Dietitian/Nutritionist,,,,,,,,,,Chennai
148,Dt. Parvathy .S,Dietitian/Nutritionist,,,₹ 200,,Dietician Dr. K.Parvathy,Adyar,,04:30 PM,05:30 PM,Chennai
149,Dt. Ruchi Meena,Dietitian/Nutritionist,,,₹ 500,,gvjvhj,George Town,,,,Chennai
150,Dr. Mahesh Thavasikkannu,General+Physician,20,"MBBS, DNB (General Medicine)",₹ 400,₹ 400,Dr Mahesh's General Clinic,Sithalapakkam,,08:00 PM,09:30 PM,Chennai
151,Dr. Vijayaraghavan P,General+Physician,35,M.D.(Gen.Medicine),₹ 500,₹ 300,Andhra Mahila Sabha Hospital,Chennai,"Neck Pain, Gastric Problem, AsthmaNext ",04:45 PM,05:30 PM,Chennai
152,Dr. Mubarak J,General+Physician,27,"DIPLOMA IN DIABETES (U.K), M.D INTERNAL MEDICINE, MBBS",₹ 150,₹ 100,J M Diabetes Center,Chennai,,05:00 PM,09:00 PM,Chennai
153,Dr. Robin Jeya Bensam,General+Physician,30,"MBBS, FRSH, AFIH, FCIP",₹ 500,₹ 250,Robin Hospitals,Anna Nagar,,09:00 AM,09:00 PM,Chennai
