,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
77,Dr. Anil P. Trimbake,Dermatologist,40,"MD - Dermatology, Venereology & Leprosy, MBBS Bachelor of Medicine and Bachelor of Surgery",₹ 300,,,,,11:00 AM,07:00 PM,Pune
78,Dr. L K Desai,Dermatologist,29,"MD - Dermatology, MBBS-Venereology and Leprosy",₹ 700,₹ 100,Dr Desai Derma Care,Rasta peth,,12:00 PM,03:00 PM,Pune
79,Dr. Vanishree S.V,Dermatologist,15,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL)",₹ 699,₹ 600,SKINARQ,Nigdi,,12:00 PM,08:00 PM,Pune
80,Richfeel,Dermatologist,17,Trichologist,₹ 100,₹ 300,,,"Pimples, Acne Treatment, Hair TransplantNext ",10:00 AM,08:00 PM,Pune
81,Dr. Sudhakar Grandhi,Dermatologist,36,MBBS,₹ 500,,Dr.Sudhakar Grandhi Dermatology Clinic,Aundh,AllergyNext ,06:00 PM,09:00 PM,Pune
82,Dr. Poorva Shah,Dermatologist,17,"MD -Dermatology , Venereology & Leprosy, MBBS",₹ 500,₹ 500,Derma Centre Camp,Pune,,02:00 PM,08:00 PM,Pune
83,Dr. Nitin Jain,Dermatologist,29,"MBBS, Diploma in Venerology & Dermatology (DVD), DDV, MD - Dermatology , Venereology & Leprosy",₹ 500,,Skin & Surgery International & Asia Institute of Hair Transplant,Viman Nagar,"Skin Whitening, Pimples, Black Spots on SkinNext ",10:00 AM,04:00 PM,Pune
84,Transplant Hair Md Pvt Ltd,Dermatologist,30,"Best Dermatologist Clinic, Closed On Tuesday Only",₹ 500,₹ 500,Transplant Hair MD Pvt Ltd - Sasoon Road,Pune,,10:00 AM,08:00 PM,Pune
85,Dr. Sonal Chavan,Dermatologist,18,"MBBS, MD - Dermatology",₹ 400,₹ 200,Skinhance Clinic,Rahatani,"Pimples, Removal of Corns, Pimples TreatmentNext ",11:00 AM,01:00 PM,Pune
86,Dr. Mohan Darbastwar,Dermatologist,22,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 500,₹ 700,The Skin Hair Laser & Cosmetology Clinic,Koregaon Park,,11:00 AM,02:00 PM,Pune
87,Dr. Pooja Tilwani,Dermatologist,20,"MBBS, MD - Dermatology, Diploma In Dermatology And Venerology And Leprosy (DDVL)",₹ 400,₹ 700,The Skin Doctors,Pimpri,skin doctorNext ,03:00 PM,06:00 PM,Pune
88,Skinlab By Dr. Jamuna Pai,Dermatologist,31,MBBS,₹ 500,₹ 350,,,,10:00 AM,06:30 PM,Pune
89,Dr. Varsha Bodke,Dermatologist,29,"MBBS, DVD DNB, DVD",₹ 600,₹ 300,Sparsh skin clinic,Pune,,06:00 PM,08:00 PM,Pune
90,Dr. Sheetal Kulkarni Kothekar,Dermatologist,22,"MBBS, DDV",₹ 600,₹ 400,Glow Skin,Hair And Laser Clinic,Black Spots on Skin,11:00 AM,02:00 PM,Pune
91,Dr. Ashutosh Shende,Dermatologist,17,"MBBS, MD",₹ 400,₹ 500,Root Care Dental,Skin & Hair Clinic,,11:00 AM,08:00 PM,Pune
92,Dr. Kiran Chotaliya,Dermatologist,14,"MD - Dermatology , Venereology & Leprosy",₹ 500,,Urban Skin and Hair Clinic,Pimple Gurav,Hair LossNext ,04:00 PM,09:00 PM,Pune
93,Dr. Poonam Naphade,Dermatologist,22,"MBBS, Diploma in Dermatology & Venerology",₹ 450,,Shashwat hospital,Aundh,"Laser Hair Removal, Hair Treatment, Hair Treatment",05:00 PM,07:00 PM,Pune
94,Dr. Tanuja Tamhankar,Dermatologist,17,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL), Certified in Hair Transplant",₹ 400,,Novo Grace Skin Clinic,Kothrud,,10:00 AM,02:00 PM,Pune
95,Dr. Sunil Tolat,Dermatologist,30,MD - Dermatology,₹ 500,,Jehangir Hospital,Sangamvadi,,02:00 PM,04:00 PM,Pune
96,Dr. Vaishalee Kirane,Dermatologist,26,DNB (Dermatology),₹ 600,,Dr Vaishalee Kirane's Skin & Hair Clinic,Shivaji Nagar,,05:30 PM,07:30 PM,Pune
97,Dr. Abhigyan Mukherjee,Dermatologist,11,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 500,,Dr Mukherjee Skin Hair & Laser Clinic,Kalyani Nagar,,10:00 AM,01:30 PM,Pune
98,Dr. Meeta Mantri,Dermatologist,15,"MD - Dermatology, MBBS, DNB (Dermatology)",₹ 600,,Dermaplus Skin Clinic,Aundh,,04:00 PM,04:00 PM,Pune
99,Dr. Vaishali Jagtap,Dermatologist,28,Diploma in Venerology & Dermatology (DVD),₹ 500,,Dr.Vaishali Jagtap Skin and Cosmetic Clinic,Hadapsar,,09:00 AM,04:00 PM,Pune
100,Dr. Priyanka Joshi,Dietitian/Nutritionist,5,Ph.D - Food Science and Nutrition,₹ 450,₹ 300,360 Degree Nutrition,Pune,"Weight Loss, Gaining Weight, Weight LossNext ",10:30 AM,01:30 PM,Pune
101,Dt. Kavita Agarwal,Dietitian/Nutritionist,15,M.Sc - Dietitic,₹ 600,₹ 350,Consultation,Pune,"Weight Loss, Gaining Weight, Weight LossNext ",10:00 AM,07:00 PM,Pune
102,Dt. Mrunal Deshpande,Dietitian/Nutritionist,30,"Masters in Dietetics and Food Service Management, Masters in psychology , Post Graduation ...read more",₹ 500,₹ 850,Mrunal's Diet & Life Style Management Clinic,Wakad,Weight Loss,05:00 PM,05:30 PM,Pune
103,Dt. Neha Pundir,Dietitian/Nutritionist,10,M.Sc - Dietitic,,₹ 500,TRUPT By Neha Pundir,Dhanori-Lohegaon,,05:00 PM,08:30 PM,Pune
104,Dr. Shilpa Ramdin (Nadem),Dietitian/Nutritionist,19,"BHMS, M.Sc - Clinical Nutrition, Certificate In Sports Nutrition, DNHE, cirtified batch fl...read more",₹ 700,₹ 500,Sarthak diet and homoeopathic clinic,Nana peth,,02:30 PM,08:00 PM,Pune
105,Dr. Rekha Sachdev Pohani,Dietitian/Nutritionist,20,"Ph. D - Gastro & Human Nutrition Unit, BSc - Home Science, MSc - Dietitic",₹ 400,₹ 250,Diet Clinic,NIBM,"Weight Loss, Weight Loss, Gaining Weight",08:00 AM,08:00 PM,Pune
106,Dt. Mayura Mahajani,Dietitian/Nutritionist,22,"Registered Dietitian , MSc(DFSM), Certified Diabetes Educator, Trained Yoga Teacher & Therapist",,₹ 399,Aaditya CLINIC,Pune,,,,Pune
107,Dr. Tripti Khanna,Dietitian/Nutritionist,17,Master In Food Science & Nutrition,₹ 800,₹ 500,Sirona Healing Center,NIBM Road,,05:00 PM,07:00 PM,Pune
108,Dt. Komal Mehta,Dietitian/Nutritionist,19,diploma  in dietitics,,₹ 300,Shree Hospital,Nagar Road,"Weight Loss, Gaining Weight, Weight Loss",09:00 AM,09:00 PM,Pune
109,Dt. Archana Rairikar,Dietitian/Nutritionist,32,"IGNOU, B.Sc - Nutrition, Post Diploma In Dietetics, Post Graducate Certificate In Diabetes...read more",,₹ 350,Dr Bhaskar Harshe Clinic,Narayan peth,,03:00 PM,05:00 PM,Pune
110,Dt. Shwetha Bhatia,Dietitian/Nutritionist,25,"B.Sc. In Food Science & Quality Control, Post Graduate Diploma In Dietetics",,,,,,10:00 AM,08:00 PM,Pune
111,Dt. Rd Bilkish Raje,Dietitian/Nutritionist,20,M.Sc Dietetics -Outstanding Grad,₹ 500,,Ecovalley Nutrition Centre,Wagholi,"Weight Loss, Diabetic Diet Counseling, Weight Loss TreatmentNext ",10:00 AM,05:00 PM,Pune
112,Dt. Shreesha Gijare,Dietitian/Nutritionist,19,"Bachelor of Science, Nutrition & Food Technology, Maste",₹ 500,₹ 300,Shree Venkateshwara Nutrition Clinic,Ganesh Nagar,,09:00 AM,06:00 PM,Pune
113,Dr. Rupal Jasani,Dietitian/Nutritionist,16,Bsc - Food & Nutrition,₹ 400,₹ 300,Rupal's Diet Clinic,Pune,,05:30 PM,08:30 PM,Pune
114,Dt. Aditi Kulkarni,Dietitian/Nutritionist,14,post graduate diploma in advanced nutrition,₹ 450,₹ 150,One click diet service,Pune,"Weight Loss, Weight ManagementNext ",11:00 AM,07:00 PM,Pune
115,Dt. Preeti Singh,Dietitian/Nutritionist,13,"MSc - Nutritional Sciences, B.H.Sc. (Food & Nutrition)",₹ 500,₹ 500,Preeti's Diet Clinic,Pune,,10:00 AM,12:00 PM,Pune
116,Dt. Mrs. Anagha Samir Jadhav,Dietitian/Nutritionist,22,M.Sc - Dietitic,₹ 700,,Anaghasworld... Shape up your world,Wakad,,11:30 AM,01:30 PM,Pune
117,Dt. Manju Sharma,Dietitian/Nutritionist,11,M.Sc - Dietitic,₹ 500,₹ 500,The Food Clinique- Health,Wellness and Fitness clinic,,09:45 AM,12:15 PM,Pune
118,Dr. Tulika Bakshi Sinha,Dietitian/Nutritionist,11,"Bachelor In Clinical Nutrition and Dieteics, Master in Nutrition and Dietetics",,₹ 400,TotalNutrition@TulikaS,Chinchwad,"Weight Loss, Gaining Weight, Weight Loss Diet CounselingNext ",06:00 PM,08:30 PM,Pune
119,Dr. Rohini Patil,Dietitian/Nutritionist,9,MBBS Bachelor of Medicine and Bachelor of Surgery,,₹ 250,Nutracy Lifestyle by Dr.Rohini Patil,Koregaon Park,,10:30 AM,06:30 PM,Pune
120,Dr. Ruta Ashwin,Dietitian/Nutritionist,18,"MBBS, MBA (Healthcare), CFN, MSc DFSM",₹ 600,₹ 300,Ghole Road,Pune,,09:30 AM,07:00 PM,Pune
121,Dt. Sneha Majumder,Dietitian/Nutritionist,11,"M.Sc in Applied Nutrition, B.Sc. - Dietitic",,₹ 850,,,,,,Pune
122,Dr. Deepika Gupta,Dietitian/Nutritionist,18,"Ph. D - Nutrition, UGC NET, Junior Research Felloship in Food and Nutrition, Masters in Nu...read more",₹ 500,,Eat2Nourishh,Pune,,05:30 PM,08:00 PM,Pune
123,Health-total By Anjali Mukerjee,Dietitian/Nutritionist,,,₹ 100,,,,,09:00 AM,05:00 PM,Pune
124,Dr. Dhananjay Patil,Dietitian/Nutritionist,19,"Bachelor of Ayurveda, Medicine and Surgery (BAMS), PG Diploma in Emergency Medicine, pg di...read more",,₹ 300,,,,,,Pune
125,Dr. Vidya Shinde-rokade,Dietitian/Nutritionist,21,"MBBS Bachelor of Medicine and Bachelor of Surgery, Nutrition Certification, Msc dietetics ...read more",₹ 500,₹ 600,Priime Nephrocare Nutrition & Wellness,Hadapsar,,05:00 PM,09:00 PM,Pune
126,Dr. Ambika Nair,Dietitian/Nutritionist,29,M.Sc - Clinical Nutrition,,,,,,06:00 PM,09:00 PM,Pune
127,Dt. Pallavi Menon,Dietitian/Nutritionist,10,"PG Diploma in Clinical Nutrition, M.Tech Biotechnology",₹ 500,₹ 200,Yogi Tree Wellness,Baner-Pashan Link Road,,11:00 AM,07:30 PM,Pune
128,Dr. Aparna Pitre,Dietitian/Nutritionist,16,"BHMS, Diploma in Diet and Nutrition, Diploma in Skin Aesthetics, Cosmetology and Trichology",₹ 500,,Aparna Pitre,Kandivali,,04:00 PM,08:00 PM,Pune
129,Dt. Prachi Rege,Dietitian/Nutritionist,22,Master in Foo,,,,,Weight Loss,10:15 AM,08:30 PM,Pune
130,Dt. Jyoti Kr,Dietitian/Nutritionist,15,"Masters in Food Sc. & Nutrition, Bachelor in Home Science",,₹ 300,Right Diet Transformation Clinic,Pimple Saudagar,,02:00 PM,04:00 PM,Pune
131,Dt. Gitanjali Borse,Dietitian/Nutritionist,23,BSc - Dietitic,₹ 500,₹ 300,Pain ex clinic,Pune,"Nutrition Assessment, Aromatherapy",06:00 PM,08:00 PM,Pune
132,Dt. Sonali Bhanushali,Dietitian/Nutritionist,13,Post Graduate Diploma in applied nutrition n dietetics,₹ 500,,Bhanushali Clinic,Hadapsar,,09:00 AM,01:30 PM,Pune
133,Dt. Supriti Dixit,Dietitian/Nutritionist,20,Master-  Dietetics with Distinction,,,,,,,,Pune
