,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
33,Dr. Saikat Deb,Dentist,14,"BDS, MDS, Certified Implantologist",₹ 800,,Enamel Pearls Speciality Dental Clinic  (On Call),Beliaghata,,11:00 AM,07:00 PM,Kolkata
34,Dr. Soumendu Bhattacharya,Dentist,18,BDS,₹ 300,₹ 300,ANGEL DENTAL CLINIC,Ambagan,,,,Kolkata
35,Dr. Manish Tiwari,Dentist,11,"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Oral Cancer Surgery",₹ 300,₹ 100,Islamia Hospital,Kolkata,,12:00 PM,01:00 PM,Kolkata
36,Dr. Kamlesh Kothari,Dentist,24,"MDS - Oral & Maxillofacial Surgery, BDS, Fellowship and Diplomate in Implantology, DNB - O...read more",₹ 400,,AESTHETICA - Dental Implant Clinics,Ho Chi Minh Sarani,,07:00 AM,11:00 PM,Kolkata
37,Dr. Priyabrata Mandal,Dentist,23,"MDS Prosthodontics, BDS",₹ 300,,SEVA DENTAL CLINIC,Jadavpur,,10:00 AM,01:00 PM,Kolkata
38,Dr. Siddhartha Nath,Dentist,27,BDS,₹ 800,₹ 300,Dental Health Clinic,Selimpur Road,,06:30 PM,09:00 PM,Kolkata
39,Dr. Santanu Podder,Dentist,26,BDS,₹ 300,₹ 500,Airport Dental Clinic,Jessore Road,,09:00 AM,01:00 PM,Kolkata
40,Dr. Saurav Mukherjee,Dentist,24,BDS,₹ 500,,Smile 'N' Shine Dental Clinic,Behala,,07:00 PM,10:30 PM,Kolkata
41,Deepshikha Chowdhury,Dentist,,,₹ 500,₹ 250,Dr. Deepshikha Chowdhury Multispeciality Dental Clinic,Beliaghata,,04:00 PM,07:00 PM,Kolkata
42,Dr. Arnab Kar,Dentist,15,BDS,₹ 100,,ALIGN DENTAL CARE,Bijoygarh,,10:00 AM,01:00 PM,Kolkata
43,Dr. O P Agarwal,Dentist,23,MDS - Oral & Maxillofacial Surgery,₹ 600,,Shining 32 Clinic,Ballygunge Park Road,,09:00 AM,12:30 PM,Kolkata
44,Dr. Biswajit Panda,Dentist,13,BDS,₹ 500,,White Zone Dental Clinic,Tollygunge,,10:30 AM,07:30 PM,Kolkata
45,Dr. Swagata Deb,Dentist,19,"MDS - Prosthodontist And Crown Bridge, BDS",₹ 300,₹ 300,The Orbit Dental Care,Kasba,,05:00 PM,08:00 PM,Kolkata
46,Dr. Aruna Gupta,Dentist,40,"BDS, Endo",₹ 200,₹ 200,Dental Surgeon,Kankurgachi,,09:00 AM,04:00 PM,Kolkata
47,Dr. Shouvik Chowdhury,Dentist,13,MDS - Oral & Maxillofacial Surgery,₹ 500,,Dentamax,Santoshpur,,05:00 PM,09:00 PM,Kolkata
48,Dr. Saurabh Gupta,Dentist,13,"BDS (Implantologist), MDS - Oral & Maxillofacial Surgery",₹ 300,,Being Dentist maxillofacial and dental implant clinic,Kankurgachi,,10:00 AM,04:00 PM,Kolkata
49,Dr. Indrakamal Majumdar,Dentist,35,BDS,₹ 500,₹ 200,SMILE LAND DENTAL,Jodhpur Park,,04:30 PM,08:30 PM,Kolkata
50,Dt. Swapan Banerjee,Dietitian/Nutritionist,15,"MBBS, MD (D.V.L.)",₹ 500,₹ 600,Dr Jain Skin and Hair Care Clinic,Bhawanipur,,09:30 AM,06:30 PM,Kolkata
51,Dt. Aparajita Saha,Dietitian/Nutritionist,19,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 850,₹ 900,The Newtown Clinic,New Town,,09:00 AM,11:00 AM,Kolkata
52,Dt. Arnab Sarkhel,Dietitian/Nutritionist,16,"MBBS, MD - Dermatology, Specialty Certificate, Dermatology(UK)",₹ 900,,AG Skin Science Clinic,Gariahat,,03:00 PM,07:00 PM,Kolkata
53,Dt. Pratyasha  Agrawal,Dietitian/Nutritionist,44,"MD - Skin & VD, MBBS, DVD",,,,,,10:00 AM,12:00 PM,Kolkata
54,Dt. Mayanka Singhal,Dietitian/Nutritionist,30,"MD (AIIMS), Clinical Fellow, Skin Oncology (New England Medical Centre & Boston University...read more",,,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",11:00 AM,04:00 PM,Kolkata
55,Dt. Chetu Singhi,Dietitian/Nutritionist,28,"MD - Dermatology, Fellow of the American Academy of Dermatology (FAAD), MBBS",₹ 800,,TREZ Dermatology,Salt Lake,"Acne / Pimples Treatment, Pimples Treatment, PimplesNext ",03:00 PM,05:30 PM,Kolkata
56,Dt. Neelam Agarwal,Dietitian/Nutritionist,19,"MBBS, MD - Dermatology",₹ 900,₹ 350,Tressbeau Dermatology and Laser Clinic,Salt Lake,,03:00 PM,06:00 PM,Kolkata
57,Dt. Soumi Panjal,Dietitian/Nutritionist,10,"M.B.B.S, MD - Dermatology, DNB (Dermatology), FRGUHS (Cosmetology)",₹ 600,₹ 800,Sonoscan Healthcare Pvt Ltd,CIT Road,,04:00 PM,05:00 PM,Kolkata
58,Dt. Souvick Dey,Dietitian/Nutritionist,38,"MBBS, MD - Dermatology, Venereology & Leprosy",,,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",11:00 AM,04:30 PM,Kolkata
59,Dt. Tapasi Hazra,Dietitian/Nutritionist,20,"MBBS, MD - Dermatology , Venereology & Leprosy, FDD - Dermatology, Fellowship in Diagnosti...read more",,₹ 500,Woodlands Multispeciality Hospital -  Alipur,Alipore,,07:00 PM,08:00 PM,Kolkata
60,Dt. Samapti Maity,Dietitian/Nutritionist,13,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",₹ 800,,₹ 1,500 onlineApollo Gleneagles Hospitals,"Hair Fall, Acne Scars, Laser Hair RemovalNext ",10:00 AM,04:00 PM,Kolkata
61,Dt. Smriti Bhalotia,Dietitian/Nutritionist,34,"MBBS, MD - Dermatology",,,,,"Pimples, Hair Loss, Hair Loss TreatmentNext ",11:00 AM,07:00 PM,Kolkata
62,Dt. Meena Gupta,Dietitian/Nutritionist,13,"MBBS, MD - Dermatology, Fellowship in Dermatosurgery",₹ 600,,₹ 1,000 onlineInskin Clinic,,10:00 AM,07:30 PM,Kolkata
63,Dt. Kalpana Roy,Dietitian/Nutritionist,16,Dermatology Backed Expert Skin & Hair Care Solution,₹ 500,,,,"Acne Scars, Pimples Treatment, Acne/Pimples",,,Kolkata
64,Dt. Juhi Mimani,Dietitian/Nutritionist,15,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 500,₹ 400,Medica Superspecialty Hospital,E.M Bypass,Skin Diseases treatmentNext ,06:00 PM,07:00 PM,Kolkata
65,Dr. Ananya Bhowmik,Dietitian/Nutritionist,19,"MD - Dermatology, Trichologist",₹ 600,,,,"Scar Treatment, Pigmentation, Ear Lobe Repair",10:00 AM,10:00 PM,Kolkata
66,Dt. Shruti Kejriwal,Dietitian/Nutritionist,20,"MBBS, MD - MD- Skin & VD",₹ 500,,Dr. KULDEEP SINGH SKIN HAIR CLINIC & AMERICAN HAIR TRANSPLANT CLINIC,Kalikapur,"Hair Fall, Nail SurgeryNext ",05:30 PM,07:00 PM,Kolkata
67,Dt. Seema Poddar,Dietitian/Nutritionist,,,,,,,,07:00 AM,09:00 PM,Kolkata
68,Ms. Priyangee Lahiry,Dietitian/Nutritionist,23,"MBBS, MD - Dermatology, Fellowship in Cosmetic Surgery",,,,,,12:30 PM,06:30 PM,Kolkata
69,Dr. Nidhi Prakash,Dietitian/Nutritionist,17,Trichologist,₹ 100,₹ 300,,,"Pimples, Acne Treatment, Hair Transplant",10:00 AM,08:00 PM,Kolkata
70,Dt. Soumi Sinha,Dietitian/Nutritionist,,,₹ 250,,Dr. Paul's Advanced Hair And Skin Solutions – Salt Lake,Kolkata,,11:00 AM,07:15 PM,Kolkata
71,Dr. Sucharita Sengupta,Dietitian/Nutritionist,13,"MD - Dermatology, Fellowship in dermatosurgery, MBBS, Advance Fellowship in Laser & Dermatosurgery",₹ 450,,Eleganz Skin & Hair Clinic,Dhakuria,"Dandruff, Pigmentation, Dark Circle",10:00 AM,01:00 PM,Kolkata
72,Dt. Sangita Mondal,Dietitian/Nutritionist,6,"BNYS, FMC (Fellow in Med.Cosmetology), PG Diploma in Infectious Diseases",₹ 300,₹ 250,MIRAKEL SKIN & BEAUTY CLINIC,Kolkata,,10:30 AM,02:00 PM,Kolkata
73,Dt. Poonam,Dietitian/Nutritionist,28,MD,₹ 100,₹ 500,Manoranjan Homoeo Hall,Thakurpukur,,10:00 AM,06:00 PM,Kolkata
74,Dt. Nikita Mitra,Dietitian/Nutritionist,14,"MBBS, MD - Dermatology",₹ 500,₹ 600,Nova Medical Services,Kolkata,,03:00 PM,05:00 PM,Kolkata
75,Dt. Sanchita Shaw,Dietitian/Nutritionist,24,MD,₹ 400,₹ 500,Ghosh Clinique,Kolkata,,06:00 PM,07:00 PM,Kolkata
76,Dt. Ritu. Nandi,Dietitian/Nutritionist,49,"MBBS, MD - Dermatology",₹ 800,,Skin and Hair Clinic,Kolkata,,12:00 PM,01:00 PM,Kolkata
77,Dt. Monalisa Das,Dietitian/Nutritionist,5,"MBBS, MD, DNB, FRGUHS",₹ 800,₹ 600,Narayana Multispeciality Hospital,Jessore Road,,10:00 AM,01:00 PM,Kolkata
78,Dt. Sneha Majumder,Dietitian/Nutritionist,25,MBBS-DVD-PhD,₹ 350,₹ 300,Nebula Skin Clinic,Kolkata,,10:00 AM,01:00 PM,Kolkata
79,Surabhi Banerjee,Dietitian/Nutritionist,11,"MD - Dermatology, MBBS",₹ 600,₹ 500,La Derma Skin & Hair Clinic,Salt Lake,,09:00 AM,07:00 PM,Kolkata
80,Dr. Madhurima Roy,Dietitian/Nutritionist,,,₹ 700,₹ 400,Medithics Clinic (On Call),Mukundapur,,10:00 AM,02:30 PM,Kolkata
81,Dt. Anubha Taparia Saraogi,Dietitian/Nutritionist,25,MD - MD- Skin & VD,₹ 800,₹ 300,The Calcutta Medical Research Institute,Kolkata,,11:00 AM,02:00 PM,Kolkata
82,Dt. Sudeshna Banerjee,Dietitian/Nutritionist,28,"MBBS, MD - Dermatology",₹ 700,,Wizderm Speciality Skin & Hair Clinic,Kolkata,,09:00 AM,12:00 PM,Kolkata
83,Mrs. Anuradha Chowdhary,Dietitian/Nutritionist,19,"MBBS, MD - Dermatology",₹ 400,,Dr. Bhattacharyya's Skin And Physio Clinic,Salt Lake,,08:00 PM,09:00 PM,Kolkata
84,Dt. Snehal Kochar,Dietitian/Nutritionist,37,"MBBS, MD - Dermatology",,,,,,11:30 AM,03:00 PM,Kolkata
85,Dt. Pallavi Majumder,Dietitian/Nutritionist,46,"MBBS, DGO, Diploma in Venerology and Dermatology",₹ 700,,Royd Skin Hair And Laser Center,Kolkata,,02:00 PM,05:00 PM,Kolkata
86,Dt. Ankita Das,Dietitian/Nutritionist,24,MD,₹ 500,₹ 500,Dr. Indrajit Bahali,Kolkata,,12:00 PM,05:00 PM,Kolkata
87,Dt. Jayita Brahmo,Dietitian/Nutritionist,18,"MBBS, DNB - Dermatology & Venereology",₹ 800,,PR DIAGNOSTICS & POLYCLINIC,Dum Dum,,06:00 PM,07:00 PM,Kolkata
88,Dt. Munmun Pradhan,Dietitian/Nutritionist,5,"MD - Dermatology (Gold medalist), MBBS (Hons.)",₹ 800,₹ 350,Dr. Vohra's Skin Clinic,Elgin,,03:00 PM,05:00 PM,Kolkata
89,Dr. Joydeep Roy,Dietitian/Nutritionist,42,MD,₹ 300,₹ 500,K V C Clinic,Kolkata,,07:30 PM,09:30 PM,Kolkata
90,Dt. Sonal Surekha,Dietitian/Nutritionist,,,₹ 250,₹ 250,"Dr. Paul""s Advanced Hair & Skin Solutions",Kolkata,,11:00 AM,06:00 PM,Kolkata
91,Dt. Jayita Kundu,Dietitian/Nutritionist,42,"MBBS, DDV",₹ 200,₹ 200,Spandan Medical,Kolkata,,07:00 PM,09:00 PM,Kolkata
92,Ms. Jyoti Pachisia,Dietitian/Nutritionist,14,"MD Dermatology, Fellow of cutaneous and laser surgery, MBBS",₹ 600,₹ 200,Apex Institute of Medical Sciences,Survey Park,,06:30 PM,07:30 PM,Kolkata
93,Dt. Suman Santra,Dietitian/Nutritionist,20,MD - Dermatology,₹ 500,₹ 300,Floss,Kolkata,,06:00 PM,08:00 PM,Kolkata
94,Ms. Ashmita Biswas,Dietitian/Nutritionist,10,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Dermatology , Venereology & LeprosyOliva Skin And Hair Clinic , Narendrapur , KolkataNext Available Slo",,,,,,11:00 AM,07:00 PM,Kolkata
95,Mr. Soumam Dutta,Dietitian/Nutritionist,30,md,₹ 300,,Dr. Partha Sarathi Sen's Clinic,Dum Dum Park,,07:30 PM,09:00 PM,Kolkata
96,Dt. Chandrima Saha,Dietitian/Nutritionist,27,"MBBS, MD - Skin & VD",₹ 700,,Alura Aesthetic Clinic and Diagnostics,Bangur Avenue,,06:00 PM,07:00 PM,Kolkata
97,Dt. Hema Gandhi,Dietitian/Nutritionist,45,"MBBS, MD - Dermatology",,,,,,10:30 AM,12:30 PM,Kolkata
98,Dr. Minakshi Dutta,Dietitian/Nutritionist,26,"MBBS, MD - Dermatology",₹ 500,,Pristine,Kolkata,,04:00 PM,06:00 PM,Kolkata
99,Dt. Anuradha Sharma,Dietitian/Nutritionist,2,"MBBS,MD ( DVL)",₹ 600,₹ 400,Datta's Dermatology Clinic,Garia,,08:30 AM,10:00 AM,Kolkata
100,Dr. Md Abdullah Asghar,General+Physician,29,B.Sc. - Dietitic,,,,,"Weight Loss, Weight Loss Treatment, Diet ChartNext ",08:00 AM,02:00 PM,Kolkata
101,Dr. Janaki Raman,General+Physician,48,"PG Dip Diet, B.Sc. - Dietitic",,,,,"Gaining Weight, Weight Loss, Diet ChartNext ",12:00 PM,06:00 PM,Kolkata
102,Dr. Abhijit Ray,General+Physician,13,M.Sc - Dietitic,₹ 700,₹ 300,Diet Home Clinic,Barrackpore,"Diet Planning, Diet Chart",11:00 AM,02:00 PM,Kolkata
103,Dr. Ayan Mukherjee,General+Physician,17,"B.Sc- Food & Nutrition, M.Sc- Food Science & Nutrition, NET (LS)",₹ 500,₹ 250,Doctors & Doctors,Sector V,"Weight Loss, Diet Chart, Ketogenic DietNext ",11:00 AM,06:30 PM,Kolkata
104,Dr. Chandan Malik,General+Physician,25,"Masters in Nutritional Therapy, Diabetes Educator, MSc - Food & Applied Nutrition",,,,,,10:00 AM,06:00 PM,Kolkata
105,Dr. Debabrata Sarkar,General+Physician,8,"Diploma in Obesity Management & Clinical Medical Condition, Diploma in Dietetics, Health a...read more",,,,,,04:00 PM,06:00 PM,Kolkata
106,Dr. Jayita Chattopadhyay,General+Physician,13,"Diploma in Dietetics Health & Nutrition, Post Graduate Diploma in Nutrition & Health Education",₹ 500,₹ 350,Nutrizone Diet Clinic,New Alipore,,10:00 AM,07:00 PM,Kolkata
107,Abhishek Chakrabarti,General+Physician,10,M.Sc - Dietitic,₹ 600,₹ 250,Bright healthcare and wellness pvt.ltd,Sakher Bazar,Weight Loss,04:30 PM,08:00 PM,Kolkata
108,Dr. Mangala Roy,General+Physician,14,"M. SC. , B.Sc. - Dietitic",₹ 400,,Peerless Hospital City Diagnostic Centre,Girish Park,Weight LossNext ,06:00 PM,07:00 PM,Kolkata
109,S. P. Chowdhury,General+Physician,10,"Diploma in Nutrition & Dietetic, Child Care Nutrition, Certificate course in Weight Manage...read more",₹ 500,₹ 300,Urvaraa IVF,Ballygunge,,02:00 PM,05:00 PM,Kolkata
110,Dr. Subha Metya,General+Physician,10,"M.Sc .CDE, Certificate course in  Programming for Infant and Young Child Feeding, FODMAP S...read more",₹ 400,₹ 400,Nutri Mania,Kasba,,07:00 AM,08:30 PM,Kolkata
111,Dr. Indranil Khan,General+Physician,5,Clinical Nutritionist,,₹ 350,NutriHeal  Clinic,Ho Chi Minh Sarani,,10:00 AM,08:00 PM,Kolkata
112,Dr. Goma Bali Bajaj,General+Physician,12,"BSc, Diploma In Diet & Nutrition, Post Graduation Diploma In Dietetics",,₹ 350,The Homely Diet Clinic,Salt Lake,,11:00 AM,02:00 PM,Kolkata
113,Dr. Dibyendu Dutta,General+Physician,34,"MSC in Food Processing and Nutrition, Diploma in Dietetics, ,RD Dietitian",₹ 800,₹ 350,Health Point Nursing Home,Paddapukur Road,,10:00 AM,08:45 PM,Kolkata
114,Dr. Bhaswar Bhattacherjee,General+Physician,12,"DNHE, Diploma In Diet & Nutrition",,₹ 350,JM Nutrition,Kolkata,,11:00 AM,01:00 PM,Kolkata
115,Dr. Debasish Pal,General+Physician,17,"PhD in Clinical Nutrition, M Sc Food Science and Nutrition",,,,,,12:30 PM,05:00 PM,Kolkata
116,Dr. Sukanta Das Md Dph Mbbs,General+Physician,7,"MSc - Food and Applied Nutrition, Certified sports nutrition",,,,,,11:00 AM,08:00 PM,Kolkata
117,Dr. Aakash Pal,General+Physician,9,"Diploma in Dietetics, Health and Nutrition (DDHN)",,₹ 300,Dt. Seema Poddar Diet Clinic,Camac Street,,11:00 AM,05:30 PM,Kolkata
118,Dr. Dipu Shaw,General+Physician,16,"RD (All India Topper), MSc. Clinical Nutrition & Dietetics, P.G Certificate, Diabetes Educ...read more",₹ 600,,N.G Medicare Clinic,Rash Behari Avenue,,03:00 PM,06:00 PM,Kolkata
119,Dr. Jyoti Biswas,General+Physician,12,"Certificate in Food Nutrition, MSc - Dietitic",,,,,,10:00 AM,02:00 PM,Kolkata
120,Dr. S M Ali,General+Physician,13,M.Sc - Dietitic,,₹ 150,Bright Healthcare & Wellness Private Limited,Behala Chowrasta,,,,Kolkata
121,Dr. Tirtha Pratim Purkait,General+Physician,11,"M.Sc in Food Processing and Nutrition Science, Ph.D",₹ 700,,₹ 1,000 onlineSucharita Sengupta,,07:00 PM,09:00 PM,Kolkata
122,Mahmudul Haq,General+Physician,11,"B.Sc Food & Nutrition, M.Sc Dietetics & Community Nutrition Management, ISSA - Sports Nutr...read more",,,,,,11:00 AM,07:00 PM,Kolkata
123,Dr. Shabbir Ahmed,General+Physician,16,"M.Sc -  Dietetics and Food Service Management, B.Sc. - Dietitic",,₹ 499,BNS Clinic & Healthcare Pvt Ltd,Garia,,11:00 AM,01:00 PM,Kolkata
124,Dr. Aditya Bishayee,General+Physician,9,MSc - Food and Applied Nutrition,,,,,,12:00 PM,08:00 PM,Kolkata
125,Dr. Dipankar Bhattacharya,General+Physician,7,Masters In Nutritional Therapy,₹ 350,₹ 400,,,,08:00 PM,09:45 PM,Kolkata
126,Dr. Mir Tahmid Zaman,General+Physician,15,"M.Sc  Food & Nutrition, B.Sc. - Dietitic",₹ 200,,Ritu Nandi,Dum Dum Cant,,09:30 AM,11:30 AM,Kolkata
127,Dr. Krishna Poddar,General+Physician,7,B.Sc. - Dietitic,₹ 800,,₹ 1,000 onlineHealth care nursing home,,06:00 PM,08:00 PM,Kolkata
128,Biswadeep Sengupta,General+Physician,11,"M.Sc in Applied Nutrition, B.Sc. - Dietitic",,₹ 850,Health help - With Sneha Majumder,Haltu,,,,Kolkata
129,Dr. Bhaskar Banik,General+Physician,12,Msc - Dietetics and Community Nutrition,₹ 800,₹ 500,Pathak Medical Hall,Kolkata,,10:00 AM,06:00 PM,Kolkata
130,Dr. Partha Sarathi Sengupta,General+Physician,11,"M.sc- Applied Nutrition, West Bengal State University, sports authority of India",₹ 500,₹ 300,Nutrindulged Clinic,Kolkata,,07:30 PM,09:00 PM,Kolkata
131,Dr. Asim Kumar Pal,General+Physician,17,PGDAN,,,,,"Weight Loss, Weight Management",10:00 AM,07:00 PM,Kolkata
132,Dr. Niloy Banerjee,General+Physician,21,M.Sc. - Food & Nutrition,₹ 600,,₹ 1,000 onlineMeditips,,10:00 AM,02:00 PM,Kolkata
133,Dr. S P Upadhyay,General+Physician,4,"Masters in Clinical Nutriton (MCN), Certificate in Lifecycle and wellness Nutrition, certi...read more",₹ 600,₹ 500,Apollo clinic dunlop,Dunlop,,06:00 PM,07:30 PM,Kolkata
134,Dr. Debashis Chatterjee,General+Physician,13,"Masters in Nutritional Therapy, N.E.T, IDA Council",,₹ 300,Millennium Health Care,Salt Lake,,,,Kolkata
135,Dr. Ritwik Roy,General+Physician,12,"MSC - Dietitics & community nutrition, PG Diploma in Diecs",₹ 300,₹ 600,pallavi majumder,Netaji Nagar,,04:30 PM,08:00 PM,Kolkata
136,Dr. Shibsankar Pal,General+Physician,12,"MSCDFSM, BSc-Food and Applied Nutrition",₹ 500,₹ 500,DO OR DIET,Madhyamgram,,09:00 AM,09:00 PM,Kolkata
137,Dr. Saptarshi Banerjee,General+Physician,9,"Post Graduate in Food & Nutrition, Certified Diabetes Educator, Graduate in Food & Nutrition",₹ 500,₹ 500,Residential Chamber,Bow Bazar,,04:00 PM,05:00 PM,Kolkata
