,Unnamed: 0,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City,Unnamed: 0.1
11,11,Dr. Kashif Ahmed Shamsi,Dentist,11,"Internationally Certified Practitioner for ClearPath Orthodontics, BDS, Advanced Aesthetic...read more",₹ 200,,DentRelief Dental Clinic,Chittaranjan Avenue,"Teeth Whitening, Teeth CleaningNext ",5:00 PM,9:00 PM,Kolkata,
12,12,Dr. Subhadeep Raha,Dentist,26,Advanced Aesthetics,₹ 300,,,,,10:30 AM,9:00 PM,Kolkata,
13,13,Dr. Anuj Kumar Pathak,Dentist,14,"MDS, BDS",₹ 500,₹ 100,TEETH AND GUMS DENTAL CLINIC,Salt Lake,"Pedodontics (Children Dentistry), Dental Fillings, Wisdom Tooth Removal",5:00 PM,9:00 PM,Kolkata,
14,14,Dr. Shyamaltanu Sengupta,Dentist,23,"BDS, CERTIFICATION IN COSMETIC DENTISTRY AND ORAL FULL MOUTH REHABILITATION",₹ 200,₹ 300,Smileline Dental Clinic,Konnagar,,7:00 AM,11:00 PM,Kolkata,
15,15,Dr. Abhradeep Chatterjee,Dentist,11,"BDS, PG Diploma in Forensic Odontology, MDS - Oral Medicen Radiology",₹ 300,₹ 100,Dr Chatterjees Medical And Dental Clinic,Thakurpukur,,9:00 AM,11:00 PM,Kolkata,
16,16,Dr. Anuran Ghosh Mondal,Dentist,11,BDS,₹ 250,₹ 200,,,,11:00 AM,8:00 PM,Kolkata,
17,17,Dr. Mousheli Samanta,Dentist,11,BDS,₹ 300,₹ 300,Lion's hospital,Kolkata,,11:00 AM,3:00 PM,Kolkata,
18,18,Dr. Gopi Bagree,Dentist,17,"Certified Implantologist, Fellow of Academy of General Dentistry (FAGD), BDS",₹ 600,₹ 100,JD's Dental Clinic,Kalakar Street,Root canalNext ,1:30 PM,4:30 PM,Kolkata,
19,19,Dr. Shiv Bhusan Pandey,Dentist,16,"BDS double honours (Implantologist) microdentist, Certification in Laser Dentistry soft ti...read more",₹ 500,₹ 100,SHINE ORAL & DENTAL CARE,New Alipore,,4:30 PM,8:00 PM,Kolkata,
20,20,Dr. Chandrima Santra,Dentist,20,"BDS, Post Graduate Diploma in Clinical Research, Certified Implantologist, Certified LASER dentist",₹ 300,₹ 200,Dental Care Unit,Kestopur,"Braces for Adults and Teens, Dental CareNext ",6:00 PM,9:30 PM,Kolkata,
21,21,Dr. B K Biswas,Dentist,37,"MDS, BDS",₹ 600,,Avinash Dental Clinic,Lake Town,,9:30 AM,1:30 PM,Kolkata,
22,22,Dr. Nilendu Sekhar Dhar,Dentist,15,"MDS - Orthodontics, BDS",₹ 400,₹ 200,COSMEDENT,Kolkata,,5:00 PM,9:00 PM,Kolkata,
23,23,Dr. Debkanta Ray,Dentist,11,BDS,₹ 150,₹ 500,Smile Care,Sonarpur,,5:00 PM,8:30 PM,Kolkata,
24,24,Dr. Abhay Sonthalia,Dentist,14,MDS Prosthodontics,₹ 400,₹ 300,SMILE O CARE,Kakurgachi,"Crossbite, Root Canal Treatment, Teeth Cleaning",10:00 AM,1:00 PM,Kolkata,
25,25,Dr. Neha Banerjee,Dentist,,,₹ 300,₹ 200,Smile,Kolkata,Root canalNext ,10:00 AM,9:00 PM,Kolkata,
26,26,Dr. Supriyo Paul,Dentist,13,"BDS, MDS - Oral & Maxillofacial Surgery",₹ 300,₹ 599,STUDENTS' HEALTH HOME,Moulali,"Root canal, Teeth Cleaning, Root Canal Treatment (RCT)Next ",1:00 PM,4:00 PM,Kolkata,
27,27,Dr. Abhik Pyne,Dentist,15,"MDS - Oral & Maxillofacial Surgery, BDS",₹ 500,,ConfiDental,Garia,,4:00 PM,8:30 PM,Kolkata,
28,28,Dr. Rohini Gupta,Dentist,14,"MDS Endodontist, BDS",₹ 500,₹ 200,TEETH AND GUMS DENTAL CLINIC,Salt Lake,"Root canal, Teeth Whitening",5:00 PM,9:00 PM,Kolkata,
29,29,Dr. Trisha Ghosh,Dentist,13,"BDS, MDS - Orthodontics",₹ 500,,,,"Root Canal Treatment, Root canal, Dental CareNext ",4:00 PM,6:00 PM,Kolkata,
30,30,Dr. Soumya Ray,Dentist,18,"MDS Prosthodontics, BDS",₹ 300,₹ 100,SmileSense Dental Clinic,Shreebhumi,,7:00 AM,11:00 PM,Kolkata,
31,31,Dr. Barnali Misra,Dentist,15,"MDS Endodontist, BDS",₹ 200,₹ 500,Smilekraft Multispeciality Dental Clinic,Patuli,,5:30 PM,9:00 PM,Kolkata,
32,32,Dr. G Chakrabarty,Dentist,15,"BDS, MDS-Oral Surgery",₹ 500,₹ 500,Care N Cure Dental,Rajarhat Main Road,,5:00 PM,8:30 PM,Kolkata,
33,33,Dr. Saikat Deb,Dentist,14,"BDS, MDS, Certified Implantologist",₹ 800,,Enamel Pearls Speciality Dental Clinic  (On Call),Beliaghata,,11:00 AM,7:00 PM,Kolkata,
34,34,Dr. Soumendu Bhattacharya,Dentist,18,BDS,₹ 300,₹ 300,ANGEL DENTAL CLINIC,Ambagan,,,,Kolkata,
35,35,Dr. Manish Tiwari,Dentist,11,"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Oral Cancer Surgery",₹ 300,₹ 100,Islamia Hospital,Kolkata,,12:00 PM,1:00 PM,Kolkata,
36,36,Dr. Kamlesh Kothari,Dentist,24,"MDS - Oral & Maxillofacial Surgery, BDS, Fellowship and Diplomate in Implantology, DNB - O...read more",₹ 400,,AESTHETICA - Dental Implant Clinics,Ho Chi Minh Sarani,,7:00 AM,11:00 PM,Kolkata,
37,37,Dr. Priyabrata Mandal,Dentist,23,"MDS Prosthodontics, BDS",₹ 300,,SEVA DENTAL CLINIC,Jadavpur,,10:00 AM,1:00 PM,Kolkata,
38,38,Dr. Siddhartha Nath,Dentist,27,BDS,₹ 800,₹ 300,Dental Health Clinic,Selimpur Road,,6:30 PM,9:00 PM,Kolkata,
39,39,Dr. Santanu Podder,Dentist,26,BDS,₹ 300,₹ 500,Airport Dental Clinic,Jessore Road,,9:00 AM,1:00 PM,Kolkata,
40,40,Dr. Saurav Mukherjee,Dentist,24,BDS,₹ 500,,Smile 'N' Shine Dental Clinic,Behala,,7:00 PM,10:30 PM,Kolkata,
41,41,Deepshikha Chowdhury,Dentist,,,₹ 500,₹ 250,Dr. Deepshikha Chowdhury Multispeciality Dental Clinic,Beliaghata,,4:00 PM,7:00 PM,Kolkata,
42,42,Dr. Arnab Kar,Dentist,15,BDS,₹ 100,,ALIGN DENTAL CARE,Bijoygarh,,10:00 AM,1:00 PM,Kolkata,
43,43,Dr. O P Agarwal,Dentist,23,MDS - Oral & Maxillofacial Surgery,₹ 600,,Shining 32 Clinic,Ballygunge Park Road,,9:00 AM,12:30 PM,Kolkata,
44,44,Dr. Biswajit Panda,Dentist,13,BDS,₹ 500,,White Zone Dental Clinic,Tollygunge,,10:30 AM,7:30 PM,Kolkata,
45,45,Dr. Swagata Deb,Dentist,19,"MDS - Prosthodontist And Crown Bridge, BDS",₹ 300,₹ 300,The Orbit Dental Care,Kasba,,5:00 PM,8:00 PM,Kolkata,
46,46,Dr. Aruna Gupta,Dentist,40,"BDS, Endo",₹ 200,₹ 200,Dental Surgeon,Kankurgachi,,9:00 AM,4:00 PM,Kolkata,
47,47,Dr. Shouvik Chowdhury,Dentist,13,MDS - Oral & Maxillofacial Surgery,₹ 500,,Dentamax,Santoshpur,,5:00 PM,9:00 PM,Kolkata,
48,48,Dr. Saurabh Gupta,Dentist,13,"BDS (Implantologist), MDS - Oral & Maxillofacial Surgery",₹ 300,,Being Dentist maxillofacial and dental implant clinic,Kankurgachi,,10:00 AM,4:00 PM,Kolkata,
49,49,Dr. Indrakamal Majumdar,Dentist,35,BDS,₹ 500,₹ 200,SMILE LAND DENTAL,Jodhpur Park,,4:30 PM,8:30 PM,Kolkata,
50,50,Dt. Swapan Banerjee,Dietitian/Nutritionist,15,"MBBS, MD (D.V.L.)",₹ 500,₹ 600,Dr Jain Skin and Hair Care Clinic,Bhawanipur,,9:30 AM,6:30 PM,Kolkata,
51,51,Dt. Aparajita Saha,Dietitian/Nutritionist,19,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 850,₹ 900,The Newtown Clinic,New Town,,9:00 AM,11:00 AM,Kolkata,
52,52,Dt. Arnab Sarkhel,Dietitian/Nutritionist,16,"MBBS, MD - Dermatology, Specialty Certificate, Dermatology(UK)",₹ 900,,AG Skin Science Clinic,Gariahat,,3:00 PM,7:00 PM,Kolkata,
53,53,Dt. Pratyasha  Agrawal,Dietitian/Nutritionist,44,"MD - Skin & VD, MBBS, DVD",,,,,,10:00 AM,12:00 PM,Kolkata,
54,54,Dt. Mayanka Singhal,Dietitian/Nutritionist,30,"MD (AIIMS), Clinical Fellow, Skin Oncology (New England Medical Centre & Boston University...read more",,,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",11:00 AM,4:00 PM,Kolkata,
55,55,Dt. Chetu Singhi,Dietitian/Nutritionist,28,"MD - Dermatology, Fellow of the American Academy of Dermatology (FAAD), MBBS",₹ 800,,TREZ Dermatology,Salt Lake,"Acne / Pimples Treatment, Pimples Treatment, PimplesNext ",3:00 PM,5:30 PM,Kolkata,
56,56,Dt. Neelam Agarwal,Dietitian/Nutritionist,19,"MBBS, MD - Dermatology",₹ 900,₹ 350,Tressbeau Dermatology and Laser Clinic,Salt Lake,,3:00 PM,6:00 PM,Kolkata,
57,57,Dt. Soumi Panjal,Dietitian/Nutritionist,10,"M.B.B.S, MD - Dermatology, DNB (Dermatology), FRGUHS (Cosmetology)",₹ 600,₹ 800,Sonoscan Healthcare Pvt Ltd,CIT Road,,4:00 PM,5:00 PM,Kolkata,
58,58,Dt. Souvick Dey,Dietitian/Nutritionist,38,"MBBS, MD - Dermatology, Venereology & Leprosy",,,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",11:00 AM,4:30 PM,Kolkata,
59,59,Dt. Tapasi Hazra,Dietitian/Nutritionist,20,"MBBS, MD - Dermatology , Venereology & Leprosy, FDD - Dermatology, Fellowship in Diagnosti...read more",,₹ 500,Woodlands Multispeciality Hospital -  Alipur,Alipore,,7:00 PM,8:00 PM,Kolkata,
60,60,Dt. Samapti Maity,Dietitian/Nutritionist,13,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",₹ 800,,₹ 1,500 onlineApollo Gleneagles Hospitals,"Hair Fall, Acne Scars, Laser Hair RemovalNext ",10:00 AM,4:00 PM,Kolkata,
61,61,Dt. Smriti Bhalotia,Dietitian/Nutritionist,34,"MBBS, MD - Dermatology",,,,,"Pimples, Hair Loss, Hair Loss TreatmentNext ",11:00 AM,7:00 PM,Kolkata,
62,62,Dt. Meena Gupta,Dietitian/Nutritionist,13,"MBBS, MD - Dermatology, Fellowship in Dermatosurgery",₹ 600,,₹ 1,000 onlineInskin Clinic,,10:00 AM,7:30 PM,Kolkata,
63,63,Dt. Kalpana Roy,Dietitian/Nutritionist,16,Dermatology Backed Expert Skin & Hair Care Solution,₹ 500,,,,"Acne Scars, Pimples Treatment, Acne/Pimples",,,Kolkata,
64,64,Dt. Juhi Mimani,Dietitian/Nutritionist,15,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 500,₹ 400,Medica Superspecialty Hospital,E.M Bypass,Skin Diseases treatmentNext ,6:00 PM,7:00 PM,Kolkata,
65,65,Dr. Ananya Bhowmik,Dietitian/Nutritionist,19,"MD - Dermatology, Trichologist",₹ 600,,,,"Scar Treatment, Pigmentation, Ear Lobe Repair",10:00 AM,10:00 PM,Kolkata,
66,66,Dt. Shruti Kejriwal,Dietitian/Nutritionist,20,"MBBS, MD - MD- Skin & VD",₹ 500,,Dr. KULDEEP SINGH SKIN HAIR CLINIC & AMERICAN HAIR TRANSPLANT CLINIC,Kalikapur,"Hair Fall, Nail SurgeryNext ",5:30 PM,7:00 PM,Kolkata,
67,67,Dt. Seema Poddar,Dietitian/Nutritionist,,,,,,,,7:00 AM,9:00 PM,Kolkata,
68,68,Ms. Priyangee Lahiry,Dietitian/Nutritionist,23,"MBBS, MD - Dermatology, Fellowship in Cosmetic Surgery",,,,,,12:30 PM,6:30 PM,Kolkata,
69,69,Dr. Nidhi Prakash,Dietitian/Nutritionist,17,Trichologist,₹ 100,₹ 300,,,"Pimples, Acne Treatment, Hair Transplant",10:00 AM,8:00 PM,Kolkata,
70,70,Dt. Soumi Sinha,Dietitian/Nutritionist,,,₹ 250,,Dr. Paul's Advanced Hair And Skin Solutions – Salt Lake,Kolkata,,11:00 AM,7:15 PM,Kolkata,
71,71,Dr. Sucharita Sengupta,Dietitian/Nutritionist,13,"MD - Dermatology, Fellowship in dermatosurgery, MBBS, Advance Fellowship in Laser & Dermatosurgery",₹ 450,,Eleganz Skin & Hair Clinic,Dhakuria,"Dandruff, Pigmentation, Dark Circle",10:00 AM,1:00 PM,Kolkata,
72,72,Dt. Sangita Mondal,Dietitian/Nutritionist,6,"BNYS, FMC (Fellow in Med.Cosmetology), PG Diploma in Infectious Diseases",₹ 300,₹ 250,MIRAKEL SKIN & BEAUTY CLINIC,Kolkata,,10:30 AM,2:00 PM,Kolkata,
73,73,Dt. Poonam,Dietitian/Nutritionist,28,MD,₹ 100,₹ 500,Manoranjan Homoeo Hall,Thakurpukur,,10:00 AM,6:00 PM,Kolkata,
74,74,Dt. Nikita Mitra,Dietitian/Nutritionist,14,"MBBS, MD - Dermatology",₹ 500,₹ 600,Nova Medical Services,Kolkata,,3:00 PM,5:00 PM,Kolkata,
75,75,Dt. Sanchita Shaw,Dietitian/Nutritionist,24,MD,₹ 400,₹ 500,Ghosh Clinique,Kolkata,,6:00 PM,7:00 PM,Kolkata,
76,76,Dt. Ritu. Nandi,Dietitian/Nutritionist,49,"MBBS, MD - Dermatology",₹ 800,,Skin and Hair Clinic,Kolkata,,12:00 PM,1:00 PM,Kolkata,
77,77,Dt. Monalisa Das,Dietitian/Nutritionist,5,"MBBS, MD, DNB, FRGUHS",₹ 800,₹ 600,Narayana Multispeciality Hospital,Jessore Road,,10:00 AM,1:00 PM,Kolkata,
78,78,Dt. Sneha Majumder,Dietitian/Nutritionist,25,MBBS-DVD-PhD,₹ 350,₹ 300,Nebula Skin Clinic,Kolkata,,10:00 AM,1:00 PM,Kolkata,
79,79,Surabhi Banerjee,Dietitian/Nutritionist,11,"MD - Dermatology, MBBS",₹ 600,₹ 500,La Derma Skin & Hair Clinic,Salt Lake,,9:00 AM,7:00 PM,Kolkata,
80,80,Dr. Madhurima Roy,Dietitian/Nutritionist,,,₹ 700,₹ 400,Medithics Clinic (On Call),Mukundapur,,10:00 AM,2:30 PM,Kolkata,
81,81,Dt. Anubha Taparia Saraogi,Dietitian/Nutritionist,25,MD - MD- Skin & VD,₹ 800,₹ 300,The Calcutta Medical Research Institute,Kolkata,,11:00 AM,2:00 PM,Kolkata,
82,82,Dt. Sudeshna Banerjee,Dietitian/Nutritionist,28,"MBBS, MD - Dermatology",₹ 700,,Wizderm Speciality Skin & Hair Clinic,Kolkata,,9:00 AM,12:00 PM,Kolkata,
83,83,Mrs. Anuradha Chowdhary,Dietitian/Nutritionist,19,"MBBS, MD - Dermatology",₹ 400,,Dr. Bhattacharyya's Skin And Physio Clinic,Salt Lake,,8:00 PM,9:00 PM,Kolkata,
84,84,Dt. Snehal Kochar,Dietitian/Nutritionist,37,"MBBS, MD - Dermatology",,,,,,11:30 AM,3:00 PM,Kolkata,
85,85,Dt. Pallavi Majumder,Dietitian/Nutritionist,46,"MBBS, DGO, Diploma in Venerology and Dermatology",₹ 700,,Royd Skin Hair And Laser Center,Kolkata,,2:00 PM,5:00 PM,Kolkata,
86,86,Dt. Ankita Das,Dietitian/Nutritionist,24,MD,₹ 500,₹ 500,Dr. Indrajit Bahali,Kolkata,,12:00 PM,5:00 PM,Kolkata,
87,87,Dt. Jayita Brahmo,Dietitian/Nutritionist,18,"MBBS, DNB - Dermatology & Venereology",₹ 800,,PR DIAGNOSTICS & POLYCLINIC,Dum Dum,,6:00 PM,7:00 PM,Kolkata,
88,88,Dt. Munmun Pradhan,Dietitian/Nutritionist,5,"MD - Dermatology (Gold medalist), MBBS (Hons.)",₹ 800,₹ 350,Dr. Vohra's Skin Clinic,Elgin,,3:00 PM,5:00 PM,Kolkata,
89,89,Dr. Joydeep Roy,Dietitian/Nutritionist,42,MD,₹ 300,₹ 500,K V C Clinic,Kolkata,,7:30 PM,9:30 PM,Kolkata,
90,90,Dt. Sonal Surekha,Dietitian/Nutritionist,,,₹ 250,₹ 250,"Dr. Paul""s Advanced Hair & Skin Solutions",Kolkata,,11:00 AM,6:00 PM,Kolkata,
91,91,Dt. Jayita Kundu,Dietitian/Nutritionist,42,"MBBS, DDV",₹ 200,₹ 200,Spandan Medical,Kolkata,,7:00 PM,9:00 PM,Kolkata,
92,92,Ms. Jyoti Pachisia,Dietitian/Nutritionist,14,"MD Dermatology, Fellow of cutaneous and laser surgery, MBBS",₹ 600,₹ 200,Apex Institute of Medical Sciences,Survey Park,,6:30 PM,7:30 PM,Kolkata,
93,93,Dt. Suman Santra,Dietitian/Nutritionist,20,MD - Dermatology,₹ 500,₹ 300,Floss,Kolkata,,6:00 PM,8:00 PM,Kolkata,
94,94,Ms. Ashmita Biswas,Dietitian/Nutritionist,10,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Dermatology , Venereology & LeprosyOliva Skin And Hair Clinic , Narendrapur , KolkataNext Available Slo",,,,,,11:00 AM,7:00 PM,Kolkata,
95,95,Mr. Soumam Dutta,Dietitian/Nutritionist,30,md,₹ 300,,Dr. Partha Sarathi Sen's Clinic,Dum Dum Park,,7:30 PM,9:00 PM,Kolkata,
96,96,Dt. Chandrima Saha,Dietitian/Nutritionist,27,"MBBS, MD - Skin & VD",₹ 700,,Alura Aesthetic Clinic and Diagnostics,Bangur Avenue,,6:00 PM,7:00 PM,Kolkata,
97,97,Dt. Hema Gandhi,Dietitian/Nutritionist,45,"MBBS, MD - Dermatology",,,,,,10:30 AM,12:30 PM,Kolkata,
98,98,Dr. Minakshi Dutta,Dietitian/Nutritionist,26,"MBBS, MD - Dermatology",₹ 500,,Pristine,Kolkata,,4:00 PM,6:00 PM,Kolkata,
99,99,Dt. Anuradha Sharma,Dietitian/Nutritionist,2,"MBBS,MD ( DVL)",₹ 600,₹ 400,Datta's Dermatology Clinic,Garia,,8:30 AM,10:00 AM,Kolkata,
100,100,Dr. Md Abdullah Asghar,General+Physician,29,B.Sc. - Dietitic,,,,,"Weight Loss, Weight Loss Treatment, Diet ChartNext ",8:00 AM,2:00 PM,Kolkata,
101,101,Dr. Janaki Raman,General+Physician,48,"PG Dip Diet, B.Sc. - Dietitic",,,,,"Gaining Weight, Weight Loss, Diet ChartNext ",12:00 PM,6:00 PM,Kolkata,
102,102,Dr. Abhijit Ray,General+Physician,13,M.Sc - Dietitic,₹ 700,₹ 300,Diet Home Clinic,Barrackpore,"Diet Planning, Diet Chart",11:00 AM,2:00 PM,Kolkata,
103,103,Dr. Ayan Mukherjee,General+Physician,17,"B.Sc- Food & Nutrition, M.Sc- Food Science & Nutrition, NET (LS)",₹ 500,₹ 250,Doctors & Doctors,Sector V,"Weight Loss, Diet Chart, Ketogenic DietNext ",11:00 AM,6:30 PM,Kolkata,
104,104,Dr. Chandan Malik,General+Physician,25,"Masters in Nutritional Therapy, Diabetes Educator, MSc - Food & Applied Nutrition",,,,,,10:00 AM,6:00 PM,Kolkata,
105,105,Dr. Debabrata Sarkar,General+Physician,8,"Diploma in Obesity Management & Clinical Medical Condition, Diploma in Dietetics, Health a...read more",,,,,,4:00 PM,6:00 PM,Kolkata,
106,106,Dr. Jayita Chattopadhyay,General+Physician,13,"Diploma in Dietetics Health & Nutrition, Post Graduate Diploma in Nutrition & Health Education",₹ 500,₹ 350,Nutrizone Diet Clinic,New Alipore,,10:00 AM,7:00 PM,Kolkata,
107,107,Abhishek Chakrabarti,General+Physician,10,M.Sc - Dietitic,₹ 600,₹ 250,Bright healthcare and wellness pvt.ltd,Sakher Bazar,Weight Loss,4:30 PM,8:00 PM,Kolkata,
108,108,Dr. Mangala Roy,General+Physician,14,"M. SC. , B.Sc. - Dietitic",₹ 400,,Peerless Hospital City Diagnostic Centre,Girish Park,Weight LossNext ,6:00 PM,7:00 PM,Kolkata,
109,109,S. P. Chowdhury,General+Physician,10,"Diploma in Nutrition & Dietetic, Child Care Nutrition, Certificate course in Weight Manage...read more",₹ 500,₹ 300,Urvaraa IVF,Ballygunge,,2:00 PM,5:00 PM,Kolkata,
110,110,Dr. Subha Metya,General+Physician,10,"M.Sc .CDE, Certificate course in  Programming for Infant and Young Child Feeding, FODMAP S...read more",₹ 400,₹ 400,Nutri Mania,Kasba,,7:00 AM,8:30 PM,Kolkata,
111,111,Dr. Indranil Khan,General+Physician,5,Clinical Nutritionist,,₹ 350,NutriHeal  Clinic,Ho Chi Minh Sarani,,10:00 AM,8:00 PM,Kolkata,
112,112,Dr. Goma Bali Bajaj,General+Physician,12,"BSc, Diploma In Diet & Nutrition, Post Graduation Diploma In Dietetics",,₹ 350,The Homely Diet Clinic,Salt Lake,,11:00 AM,2:00 PM,Kolkata,
113,113,Dr. Dibyendu Dutta,General+Physician,34,"MSC in Food Processing and Nutrition, Diploma in Dietetics, ,RD Dietitian",₹ 800,₹ 350,Health Point Nursing Home,Paddapukur Road,,10:00 AM,8:45 PM,Kolkata,
114,114,Dr. Bhaswar Bhattacherjee,General+Physician,12,"DNHE, Diploma In Diet & Nutrition",,₹ 350,JM Nutrition,Kolkata,,11:00 AM,1:00 PM,Kolkata,
115,115,Dr. Debasish Pal,General+Physician,17,"PhD in Clinical Nutrition, M Sc Food Science and Nutrition",,,,,,12:30 PM,5:00 PM,Kolkata,
116,116,Dr. Sukanta Das Md Dph Mbbs,General+Physician,7,"MSc - Food and Applied Nutrition, Certified sports nutrition",,,,,,11:00 AM,8:00 PM,Kolkata,
117,117,Dr. Aakash Pal,General+Physician,9,"Diploma in Dietetics, Health and Nutrition (DDHN)",,₹ 300,Dt. Seema Poddar Diet Clinic,Camac Street,,11:00 AM,5:30 PM,Kolkata,
118,118,Dr. Dipu Shaw,General+Physician,16,"RD (All India Topper), MSc. Clinical Nutrition & Dietetics, P.G Certificate, Diabetes Educ...read more",₹ 600,,N.G Medicare Clinic,Rash Behari Avenue,,3:00 PM,6:00 PM,Kolkata,
119,119,Dr. Jyoti Biswas,General+Physician,12,"Certificate in Food Nutrition, MSc - Dietitic",,,,,,10:00 AM,2:00 PM,Kolkata,
120,120,Dr. S M Ali,General+Physician,13,M.Sc - Dietitic,,₹ 150,Bright Healthcare & Wellness Private Limited,Behala Chowrasta,,,,Kolkata,
121,121,Dr. Tirtha Pratim Purkait,General+Physician,11,"M.Sc in Food Processing and Nutrition Science, Ph.D",₹ 700,,₹ 1,000 onlineSucharita Sengupta,,7:00 PM,9:00 PM,Kolkata,
122,122,Mahmudul Haq,General+Physician,11,"B.Sc Food & Nutrition, M.Sc Dietetics & Community Nutrition Management, ISSA - Sports Nutr...read more",,,,,,11:00 AM,7:00 PM,Kolkata,
123,123,Dr. Shabbir Ahmed,General+Physician,16,"M.Sc -  Dietetics and Food Service Management, B.Sc. - Dietitic",,₹ 499,BNS Clinic & Healthcare Pvt Ltd,Garia,,11:00 AM,1:00 PM,Kolkata,
124,124,Dr. Aditya Bishayee,General+Physician,9,MSc - Food and Applied Nutrition,,,,,,12:00 PM,8:00 PM,Kolkata,
125,125,Dr. Dipankar Bhattacharya,General+Physician,7,Masters In Nutritional Therapy,₹ 350,₹ 400,,,,8:00 PM,9:45 PM,Kolkata,
126,126,Dr. Mir Tahmid Zaman,General+Physician,15,"M.Sc  Food & Nutrition, B.Sc. - Dietitic",₹ 200,,Ritu Nandi,Dum Dum Cant,,9:30 AM,11:30 AM,Kolkata,
127,127,Dr. Krishna Poddar,General+Physician,7,B.Sc. - Dietitic,₹ 800,,₹ 1,000 onlineHealth care nursing home,,6:00 PM,8:00 PM,Kolkata,
128,128,Biswadeep Sengupta,General+Physician,11,"M.Sc in Applied Nutrition, B.Sc. - Dietitic",,₹ 850,Health help - With Sneha Majumder,Haltu,,,,Kolkata,
129,129,Dr. Bhaskar Banik,General+Physician,12,Msc - Dietetics and Community Nutrition,₹ 800,₹ 500,Pathak Medical Hall,Kolkata,,10:00 AM,6:00 PM,Kolkata,
130,130,Dr. Partha Sarathi Sengupta,General+Physician,11,"M.sc- Applied Nutrition, West Bengal State University, sports authority of India",₹ 500,₹ 300,Nutrindulged Clinic,Kolkata,,7:30 PM,9:00 PM,Kolkata,
131,131,Dr. Asim Kumar Pal,General+Physician,17,PGDAN,,,,,"Weight Loss, Weight Management",10:00 AM,7:00 PM,Kolkata,
132,132,Dr. Niloy Banerjee,General+Physician,21,M.Sc. - Food & Nutrition,₹ 600,,₹ 1,000 onlineMeditips,,10:00 AM,2:00 PM,Kolkata,
133,133,Dr. S P Upadhyay,General+Physician,4,"Masters in Clinical Nutriton (MCN), Certificate in Lifecycle and wellness Nutrition, certi...read more",₹ 600,₹ 500,Apollo clinic dunlop,Dunlop,,6:00 PM,7:30 PM,Kolkata,
